Date,Season,Level,Host,HostState,Opponent,OpponentState,Score1,Score2,GameLink,OpponentLink,OpponentID
2016-05-09,2016,JV,St. Mary Crusaders JV (ON),ON,Gananoque JV (ON),ON,4,1,https://scorestream.com/game/gananoque-vs-st-mary-742799,https://scorestream.com/team/gananoque-trojans-281541,281541
2016-05-11,2016,JV,St. Mary Crusaders JV (ON),ON,Rideau District JV (ON),ON,0,0,https://scorestream.com/game/rideau-district-vs-st-mary-763065,https://scorestream.com/team/rideau-district-high-school-lions-281704,281704
2016-10-17,2016,JV,Widdifield Wildcats JV (ON),ON,École Secondaire Catholique Algonquin JV (ON),ON,52,0,https://scorestream.com/game/cole-secondaire-catholique-algonquin-vs-widdifield-915957,https://scorestream.com/team/cole-secondaire-catholique-algonquin-barons-291349,291349
2017-10-11,2017,JV,Nantyr Shores Tritons JV (ON),ON,Nottawasaga Pines JV (OTTAWA),OTTAWA,48,21,https://scorestream.com/game/nantyr-shores-vs-nottawasaga-pines-1487282,https://scorestream.com/team/nottawasaga-pines-secondary-school-timber-wolves-291202,291202
2017-10-18,2017,JV,Nantyr Shores Tritons JV (ON),ON,Innisdale JV (ON),ON,21,27,https://scorestream.com/game/nantyr-shores-vs-innisdale-1496263,https://scorestream.com/team/innisdale-secondary-school-invaders-291196,291196
2017-10-19,2017,JV,West Ferris Trojans JV (ON),ON,Chippewa JV (ON),ON,52,18,https://scorestream.com/game/chippewa-vs-west-ferris-1497200,https://scorestream.com/team/chippewa-secondary-school-raiders-298447,298447
2017-10-19,2017,JV,Haliburton Highlands Redhawks JV (ON),ON,Kenner Collegiate Voc Institute JV (ON),ON,41,6,https://scorestream.com/game/kenner-collegiate-voc-institute-vs-haliburton-highlands-1496466,https://scorestream.com/team/kenner-collegiate-vocational-institute-rams-279805,279805
2017-10-19,2017,JV,École Secondaire Catholique Algonquin Barons JV (ON),ON,Widdifield JV (ON),ON,61,12,https://scorestream.com/game/cole-secondaire-catholique-algonquin-vs-widdifield-1497210,https://scorestream.com/team/widdifield-secondary-school-wildcats-291347,291347
2017-10-22,2017,JV,Ernestown Eagles JV (ON),ON,Bayridge JV (ON),ON,22,11,https://scorestream.com/game/bayridge-vs-ernestown-1499747,https://scorestream.com/team/bayridge-secondary-school-blazers-283177,283177
2017-10-28,2017,JV,Nottawasaga Pines Timber Wolves JV (ON),ON,Eastview JV (ON),ON,26,14,https://scorestream.com/game/nottawasaga-pines-vs-eastview-1506911,https://scorestream.com/team/eastview-secondary-school-wildcats-291206,291206
2017-10-29,2017,JV,Almonte And District Thuderbolts JV (ON),ON,Arnprior District JV (ON),ON,40,0,https://scorestream.com/game/arnprior-district-vs-almonte-and-district-1507410,https://scorestream.com/team/arnprior-district-high-school-rapids-283254,283254
2017-10-30,2017,JV,Huron Heights Warriors JV (ON),ON,Nelson JV (ON),ON,0,0,https://scorestream.com/game/nelson-vs-huron-heights-1509364,https://scorestream.com/team/nelson-high-school-lords-279756,279756
2017-11-04,2017,JV,Almonte And District Thuderbolts JV (ON),ON,Arnprior District JV (ON),ON,14,0,https://scorestream.com/game/almonte-and-district-vs-arnprior-district-1513628,https://scorestream.com/team/arnprior-district-high-school-rapids-283254,283254
2018-09-21,2018,JV,West Ferris Trojans JV (ON),ON,École Secondaire Catholique Algonquin JV (ON),ON,41,27,https://scorestream.com/game/west-ferris-vs-cole-secondaire-catholique-algonquin-2083515,https://scorestream.com/team/cole-secondaire-catholique-algonquin-barons-291349,291349
2018-09-22,2018,JV,Frontenac Falcons JV (ON),ON,Sydenham JV (ON),ON,20,11,https://scorestream.com/game/sydenham-vs-frontenac-2085001,https://scorestream.com/team/sydenham-high-school-golden-eagles-283158,283158
2018-09-23,2018,JV,Ernestown Eagles JV (ON),ON,Bayridge JV (ON),ON,26,7,https://scorestream.com/game/ernestown-vs-bayridge-2085255,https://scorestream.com/team/bayridge-secondary-school-blazers-283177,283177
2018-09-26,2018,JV,Haliburton Highlands Redhawks JV (ON),ON,Crestwood JV (ON),ON,12,20,https://scorestream.com/game/haliburton-highlands-vs-crestwood-2088110,https://scorestream.com/team/crestwood-secondary-school-mustangs-279801,279801
2018-09-27,2018,JV,St. Peter Catholic Saints JV (ON),ON,Fenelon Falls JV (ON),ON,24,12,https://scorestream.com/game/fenelon-falls-vs-st-peter-catholic-2088500,https://scorestream.com/team/fenelon-falls-secondary-school-falcons-279802,279802
2018-10-01,2018,JV,Crestwood Mustangs JV (ON),ON,Haliburton Highlands JV (ON),ON,35,13,https://scorestream.com/game/crestwood-vs-haliburton-highlands-2092827,https://scorestream.com/team/haliburton-highlands-secondary-school-redhawks-279803,279803
2018-10-03,2018,JV,Arnprior District Rapids JV (ON),ON,Almonte And District JV (ON),ON,27,9,https://scorestream.com/game/almonte-and-district-vs-arnprior-district-2094682,https://scorestream.com/team/almonte-and-district-high-school-thuderbolts-291263,291263
2018-10-07,2018,JV,St. Peter Catholic Saints JV (ON),ON,Crestwood JV (ON),ON,39,34,https://scorestream.com/game/crestwood-vs-st-peter-catholic-2098055,https://scorestream.com/team/crestwood-secondary-school-mustangs-279801,279801
2018-10-09,2018,JV,Arnprior District Rapids JV (ON),ON,Carleton Place JV (ON),ON,4,0,https://scorestream.com/game/carleton-place-vs-arnprior-district-2100080,https://scorestream.com/team/carleton-place-high-school-bears-282918,282918
2018-10-12,2018,JV,Crestwood Mustangs JV (ON),ON,Fenelon Falls JV (ON),ON,21,16,https://scorestream.com/game/fenelon-falls-vs-crestwood-2104074,https://scorestream.com/team/fenelon-falls-secondary-school-falcons-279802,279802
2018-10-12,2018,JV,Regiopolis-Notre Dame Panthers JV (ON),ON,Ernestown JV (ON),ON,13,17,https://scorestream.com/game/ernestown-vs-regiopolis-notre-dame-2104105,https://scorestream.com/team/ernestown-secondary-school-eagles-298007,298007
2018-10-16,2018,JV,Cardinal Carter Cougars JV (ON),ON,Vincent Massey JV (ON),ON,29,12,https://scorestream.com/game/vincent-massey-vs-cardinal-carter-2107309,https://scorestream.com/team/vincent-massey-secondary-school-mustangs-290333,290333
2018-10-17,2018,JV,St. Matthew Tigers JV (ON),ON,Almonte And District JV (ON),ON,38,13,https://scorestream.com/game/almonte-and-district-vs-st-matthew-2107671,https://scorestream.com/team/almonte-and-district-high-school-thuderbolts-291263,291263
2018-10-18,2018,JV,Sydenham Golden Eagles JV (ON),ON,Bayridge JV (ON),ON,27,7,https://scorestream.com/game/bayridge-vs-sydenham-2109204,https://scorestream.com/team/bayridge-secondary-school-blazers-283177,283177
2018-10-19,2018,JV,St. Matthew Tigers JV (ON),ON,Arnprior District JV (ON),ON,36,13,https://scorestream.com/game/st-matthew-vs-arnprior-district-2109935,https://scorestream.com/team/arnprior-district-high-school-rapids-283254,283254
2018-10-23,2018,JV,Cardinal Carter Cougars JV (ON),ON,Belle River District JV (ON),ON,27,7,https://scorestream.com/game/cardinal-carter-vs-belle-river-district-2114973,https://scorestream.com/team/belle-river-district-high-school-nobles-291256,291256
2018-10-27,2018,JV,St. Matthew Tigers JV (ON),ON,Arnprior District JV (ON),ON,21,8,https://scorestream.com/game/st-matthew-vs-arnprior-district-2119072,https://scorestream.com/team/arnprior-district-high-school-rapids-283254,283254
2018-10-31,2018,JV,Cardinal Carter Cougars JV (ON),ON,Essex District JV (ON),ON,0,25,https://scorestream.com/game/cardinal-carter-vs-essex-district-2130543,https://scorestream.com/team/essex-district-high-school-raiders-291193,291193
2018-11-02,2018,JV,Regiopolis-Notre Dame Panthers JV (ON),ON,Frontenac JV (ON),ON,15,14,https://scorestream.com/game/frontenac-vs-regiopolis-notre-dame-2139324,https://scorestream.com/team/frontenac-secondary-school-falcons-282916,282916
2018-11-13,2018,JV,Frontenac Falcons JV (ON),ON,Regiopolis-Notre Dame JV (ON),ON,25,0,https://scorestream.com/game/regiopolis-notre-dame-vs-frontenac-2186294,https://scorestream.com/team/regiopolis-notre-dame-panthers-283159,283159
2019-09-28,2019,JV,Trinity College Bears JV (ON),ON,St. Paul JV (ON),ON,20,13,https://scorestream.com/game/trinity-college-vs-st-paul-2777197,https://scorestream.com/team/st-paul-secondary-school-wolverines-292113,292113
2019-10-17,2019,JV,St. Mary'S Eagles JV (ON),ON,Bishop Ryan Catholic JV (ON),ON,29,0,https://scorestream.com/game/st-marys-vs-bishop-ryan-catholic-2821139,https://scorestream.com/team/bishop-ryan-catholic-secondary-school-celtics-279763,279763
2019-10-19,2019,JV,St. Mary'S Eagles JV (ON),ON,St. David Catholic JV (ON),ON,18,0,https://scorestream.com/game/st-marys-vs-st-david-catholic-2825759,https://scorestream.com/team/st-david-catholic-secondary-school-celtics-283079,283079
2019-10-23,2019,JV,St. Mary'S Eagles JV (ON),ON,Bishop Tonnos JV (ON),ON,16,2,https://scorestream.com/game/st-marys-vs-bishop-tonnos-2834654,https://scorestream.com/team/bishop-tonnos-catholic-secondary-school-titans-279765,279765
2019-10-25,2019,JV,St. Joseph Jaguars JV (ON),ON,St. Peter Catholic JV (ON),ON,35,0,https://scorestream.com/game/st-peter-catholic-vs-st-joseph-2840972,https://scorestream.com/team/st-peter-catholic-secondary-school-saints-279815,279815
2019-11-01,2019,JV,St. Mary'S Eagles JV (ON),ON,St. Jean De Brebeuf JV (ON),ON,40,8,https://scorestream.com/game/st-jean-de-brebeuf-vs-st-marys-2860274,https://scorestream.com/team/st-jean-de-brebeuf-secondary-school-braves-279768,279768
2019-11-06,2019,JV,St. Joseph Jaguars JV (ON),ON,West Ferris JV (ON),ON,34,0,https://scorestream.com/game/west-ferris-vs-st-joseph-2874385,https://scorestream.com/team/west-ferris-secondary-school-trojans-291352,291352
2019-11-11,2019,JV,St. Joseph Jaguars JV (ON),ON,St. Peter Catholic JV (ON),ON,21,19,https://scorestream.com/game/st-peter-catholic-vs-st-joseph-2898092,https://scorestream.com/team/st-peter-catholic-secondary-school-saints-279815,279815
2019-11-15,2019,JV,St. Joseph Jaguars JV (ON),ON,Nottawasaga Pines JV (OTTAWA),OTTAWA,28,13,https://scorestream.com/game/nottawasaga-pines-vs-st-joseph-2916260,https://scorestream.com/team/nottawasaga-pines-secondary-school-timber-wolves-291202,291202
2024-10-15,2024,JV,Stouffville District Spartans JV (ON),ON,Pickering JV (ON),ON,4,3,https://scorestream.com/game/pickering-vs-stouffville-district-5372452,https://scorestream.com/team/pickering-high-school-trojans-273578,273578
2025-09-24,2025,JV,Cardinal Carter Cougars JV (ON),ON,Essex District JV (ON),ON,24,6,https://scorestream.com/game/cardinal-carter-vs-essex-district-5856860,https://scorestream.com/team/essex-district-high-school-raiders-291193,291193
2025-09-24,2025,JV,Tecumseh Vista Vortex JV (ON),ON,F. J. Brennan Catholic JV (ON),ON,2,1,https://scorestream.com/game/f-j-brennan-catholic-vs-tecumseh-vista-5856858,https://scorestream.com/team/f-j-brennan-catholic-high-school-cardinal-291216,291216
2025-09-24,2025,JV,St. Joseph Jaguars JV (ON),ON,Holy Names Catholic JV (ON),ON,21,3,https://scorestream.com/game/st-joseph-vs-holy-names-catholic-5856861,https://scorestream.com/team/holy-names-catholic-high-school-knights-279551,279551
