source_file,original_name,corrected_name,side,season,date,home,visitor,home_score,visitor_score,determination,applied_at,status
College_HS_Mismatch_Review.csv,Findlay (OH),University of Findlay (OH),Home,1934,1934-11-11,Findlay (OH),Alfred Holbrook College (OH),97,0,"Confirmed via Plain Dealer 11/11/1934 p.32 'OHIO COLLEGIATE' box score -- this was a college-vs-college game, not the high school.",2026-07-26T12:44:32.380213,applied
College_HS_Mismatch_Review.csv,Hastings (NE),Hastings College (NE),Home,1921,1921-10-08,Hastings (NE),Doane University (NE),0,0,Confirmed via source clipping: the same page lists both Hastings College vs Doane (college game) AND a separate Hastings High vs Superior game (7-7 tie) -- this DB row is the college game.,2026-07-26T12:44:32.454218,applied
College_HS_Mismatch_Review.csv,Georgetown Scott County (KY),Georgetown College Frosh (KY),Visitor,1927,1927-11-12,University of the South (TN),Georgetown Scott County (KY),21,6,"Confirmed via image: Sewanee 21, Georgetown 6 (frosh) -- the '(frosh)' qualifier appeared as a note outside the main score line, so the OCR/import process missed it.",2026-07-26T12:44:32.534364,applied
College_HS_Mismatch_Review.csv,Marietta (OH),Marietta College (OH),Visitor,1925,1925-10-11,Marshall University (OH),Marietta (OH),0,0,"Confirmed via Marietta HS's own 1925 season summary (9 games: Wellston, Martins Ferry, Parkersburg WV x2, Zanesville, Athens, Harrisburg PA, Steubenville, Williamstown) -- no Marshall game anywhere in it, so this must be Marietta College's game.",2026-07-26T12:44:32.591885,applied
College_HS_Mismatch_Review.csv,Wheaton (IL),Wheaton College (IL),Home,1924,1924-10-19,Wheaton (IL),Northwestern University (IL),13,6,"Confirmed via opponent's own athletics history page: Wheaton played 'at North-Western College' (Naperville, IL) in 1924, W 13-6 -- score matches exactly. This was Wheaton College, and the opponent was North-Western College (renamed North Central College in 1926 specifically to stop being confused with Northwestern University) -- NOT Northwestern University.",2026-07-26T12:44:32.639892,applied
College_HS_Mismatch_Review.csv,Marietta (OH),Marietta College (OH),Visitor,1931,1931-10-18,University of Cincinnati (OH),Marietta (OH),50,0,"Confirmed via Marietta HS's own 1931 schedule (8 games: Pomeroy, St. Marys, Cambridge, Williamstown, Martins Ferry, Zanesville, Parkersburg, Coshocton) -- no Cincinnati game in it, so this must be Marietta College's game.",2026-07-26T12:44:32.701482,applied
College_HS_Mismatch_Review.csv,Bowling Green (OH),Bowling Green State University (OH),Home,1921,1921-10-02,Bowling Green (OH),Kent State University School (OH),0,0,"Confirmed via Bowling Green HS's own 1921 schedule (Perrysburg, Lima, Fostoria, Findlay, Kenton, Napoleon, Tiffin (cancelled), Bryan (cancelled), Alumni) -- no Kent State game in it, so this must be Bowling Green State's game.",2026-07-26T12:44:32.719482,applied
College_HS_Mismatch_Review.csv,Georgetown Scott County (KY),Georgetown College (KY),Visitor,1928,1928-11-10,Wofford University (SC),Georgetown Scott County (KY),7,0,Confirmed via Georgetown College's official 1928 season record: 'Wofford College L 7-0' -- exact score match.,2026-07-26T12:44:32.768623,applied
College_HS_Mismatch_Review.csv,Bowling Green (OH),Bowling Green State University (OH),Home,1934,1934-10-07,Bowling Green (OH),Otterbein University (OH),20,7,"High confidence, not score-verified directly: Capital University's own 1934-1937 records show Bowling Green, Marietta, Otterbein, Ohio Northern, Heidelberg, Hiram, Kenyon, Toledo, and Findlay all playing each other every year -- this is the Ohio Athletic Conference. Every other 1934 Bowling Green row in this sheet already confirmed as Bowling Green State, so this one almost certainly is too.",2026-07-26T12:44:32.795621,applied
College_HS_Mismatch_Review.csv,Marietta (OH),Marietta College (OH),Home,1934,1934-10-14,Marietta (OH),Capital University (OH),3,0,"Confirmed via Marietta HS's own 1934 schedule (McConnelsville, St. Marys, Spencer, Williamstown, Martins Ferry, Chillicothe, Athens, Cambridge, Glouster, Zanesville, Parkersburg) -- no Capital game in it, so this must be Marietta College's game.",2026-07-26T12:44:32.823622,applied
College_HS_Mismatch_Review.csv,Georgetown Scott County (KY),Georgetown College (KY),Home,1932,1932-11-25,Georgetown Scott County (KY),Transylvania University (KY),14,13,Confirmed via Georgetown College's official 1932 season record: 'Transylvania University W 14-13' -- exact score match.,2026-07-26T12:44:32.873586,applied
College_HS_Mismatch_Review.csv,Marietta (OH),Marietta College (OH),Home,1920,1920-11-14,Marietta (OH),University of Cincinnati (OH),28,0,"Confirmed via Marietta HS's own 1920 schedule (New Martinville, Woodsfield, Parkersburg x2, Bellaire, Pennsboro, Zanesville, Portsmouth, Stivers, Acquinas) -- no Cincinnati game in it, so this must be Marietta College's game.",2026-07-26T12:44:32.898586,applied
College_HS_Mismatch_Review.csv,Wooster (OH),College of Wooster (OH),Home,1934,1934-11-11,Wooster (OH),University of Mount Union (OH),21,7,"Confirmed via Plain Dealer 11/11/1934 p.32 'OHIO COLLEGIATE' box score -- this was a college-vs-college game, not the high school.",2026-07-26T12:44:32.926175,applied
College_HS_Mismatch_Review.csv,Bowling Green (OH),Bowling Green State University (OH),Home,1934,1934-10-28,Bowling Green (OH),Capital University (OH),13,0,"Confirmed via Capital University's own official 1934 season record: 'Bowling Green L 0-13' -- exact score match (Capital 0, Bowling Green 13).",2026-07-26T12:44:32.952177,applied
College_HS_Mismatch_Review.csv,Marietta (OH),Marietta College (OH),Home,1934,1934-10-28,Marietta (OH),Kenyon College (OH),7,7,"Confirmed via Marietta HS's own 1934 schedule (McConnelsville, St. Marys, Spencer, Williamstown, Martins Ferry, Chillicothe, Athens, Cambridge, Glouster, Zanesville, Parkersburg) -- no Kenyon game in it, so this must be Marietta College's game.",2026-07-26T12:44:32.977691,applied
College_HS_Mismatch_Review.csv,Georgetown (KY),Georgetown College (KY),Visitor,1931,1931-10-18,University of Miami (OH),Georgetown (KY),45,0,Confirmed via Georgetown College's official 1931 season record: 'Miami (OH) University L 45-0' -- exact score match.,2026-07-26T12:44:33.004232,applied
College_HS_Mismatch_Review.csv,Georgetown (KY),Georgetown College (KY),Visitor,1934,1934-10-14,Ohio University (OH),Georgetown (KY),36,6,"Very likely match: Georgetown College's official 1934 record shows 'Ohio University L 37-7' -- same game, off by 1 point on each side (newspaper box score vs. later official record commonly disagree by a point or two over disputed PATs). Same date, same opponent, same lopsided loss.",2026-07-26T12:44:33.030231,applied
College_HS_Mismatch_Review.csv,Georgetown (KY),Georgetown College (KY),Visitor,1934,1934-10-28,University of Cincinnati (OH),Georgetown (KY),45,0,Confirmed via Georgetown College's official 1934 season record: 'University of Cincinnati L 45-0' -- exact score match.,2026-07-26T12:44:33.056746,applied
College_HS_Mismatch_Review.csv,Bowling Green (OH),Bowling Green State University (OH),Visitor,1934,1934-11-11,Ohio Northern University (OH),Bowling Green (OH),0,0,"Confirmed via Plain Dealer 11/11/1934 p.32 'OHIO COLLEGIATE' box score -- this was a college-vs-college game, not the high school.",2026-07-26T12:44:33.082748,applied
College_HS_Mismatch_Review.csv,Georgetown Scott County (KY),Georgetown College (KY),Visitor,1931,1931-11-27,Western Kentucky University (KY),Georgetown Scott County (KY),25,0,Confirmed via Georgetown College's official 1931 season record: 'Western Kentucky University L 25-0' -- exact score match.,2026-07-26T12:44:33.108746,applied
College_HS_Mismatch_Review.csv,Georgetown Scott County (KY),Georgetown College (KY),Visitor,1929,1929-11-29,Centre College (KY),Georgetown Scott County (KY),15,0,Confirmed via Georgetown College's official 1929 season record: 'Centre College L 15-0' -- exact score match.,2026-07-26T12:44:33.153750,applied
College_HS_Mismatch_Review.csv,Georgetown Scott County (KY),Georgetown College (KY),Visitor,1930,1930-10-04,University of Dayton (OH),Georgetown Scott County (KY),22,0,Confirmed via Georgetown College's official 1930 season record: 'University of Dayton (OH) L 22-0' -- exact score match.,2026-07-26T12:44:33.199263,applied
