Suspicion_Score,Season,Date,Flagged_Team,Flagged_Team_Side,Opponent,Flagged_Team_Score,Opponent_Score,Team_Historical_Avg_Margin,Team_Historical_Game_Count,Reasoning,Source,Your_Determination,Corrected_Name,Notes
9,1921,1921-09-23,Winona (MN),Visitor,Dunwoody College of Technology (MN),0,54,-3.4,915,"Opponent 'Dunwoody College of Technology (MN)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | Margin (-54) is a 2.3-sigma outlier vs this team's usual margin (-3.4 avg). | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | Pre-1930 season -- college/HS crossover games were common this early.",http://www.classmates.com/yearbooks/Winona-High-School/58059?page=36,,,
9,1927,1927-11-04,Minot (ND),Home,Minot State University (ND),52,0,7.4,1097,"Opponent 'Minot State University (ND)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | Margin (+52) is a 1.9-sigma outlier vs this team's usual margin (7.4 avg). | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | Pre-1930 season -- college/HS crossover games were common this early.",http://www.bhs.bismarckschools.org/bhs/bhsathletics/throwers/history-of-bismarck-high-football/,,,
7,1921,1921-10-22,Grand Island (NE),Visitor,Cotner College (NE),0,0,6.2,931,"Opponent 'Cotner College (NE)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | Pre-1930 season -- college/HS crossover games were common this early.",Lincoln_Journal_Star_1921_10_22_3.csv,,,
7,1929,1929-10-27,Grinnell (IA),Visitor,Grinnell College Frosh (IA),0,6,1.7,1110,"Opponent 'Grinnell College Frosh (IA)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | Pre-1930 season -- college/HS crossover games were common this early.",The_Des_Moines_Register_1929_10_27_Page_10.csv,,,
7,1927,1927-09-30,Winona (MN),Home,Minneapolis University High (MN),12,0,-3.4,915,"Opponent 'Minneapolis University High (MN)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | Pre-1930 season -- college/HS crossover games were common this early.",http://www.classmates.com/yearbooks/Winona-High-School/89872?page=70,,,
7,1921,1921-10-01,Kearney (NE),Visitor,Hastings College (NE),7,7,2.2,951,"Opponent 'Hastings College (NE)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | Pre-1930 season -- college/HS crossover games were common this early.",Lincoln_Journal_Star_1921_10_01_3.csv,,,
6,1923,1923-09-30,Oberlin (OH),Home,Defiance (OH),27,0,-5.6,712,"Opponent 'Defiance (OH)' is ALSO a risk-listed college-town name -- may be a college-vs-college guarantee game misfiled as HS, or confirms both sides need a look. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | Pre-1930 season -- college/HS crossover games were common this early.",The_Plain_Dealer_1923_09_30_41 (1).csv,,,
6,1934,1934-10-06,Murray Calloway County (KY),Home,Stetson University (FL),19,7,-5.1,603,"Opponent 'Stetson University (FL)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | 1930s/early-1940s season -- crossover games still happened, though less often than the 1920s.",The_Courier_Journal_1934_10_06_Page_13.csv,,,
6,1941,1941-11-07,Monmouth (IL),Home,Monmouth College Fresh (IL),7,6,-2.7,640,"Opponent 'Monmouth College Fresh (IL)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | 1930s/early-1940s season -- crossover games still happened, though less often than the 1920s.",http://www.classmates.com/siteui/yearbooks/90609?page=41,,,
6,1931,1931-10-18,Wooster (OH),Home,Akron University (OH),25,0,0.1,1009,"Opponent 'Akron University (OH)' is ALREADY explicitly labeled a college/university -- a bare town-name team playing a confirmed college is very likely that same college's varsity/frosh, not the high school. | This opponent pairing is a one-off (not a recurring year-over-year matchup) -- more consistent with a one-time guarantee game than a conference rivalry. | 1930s/early-1940s season -- crossover games still happened, though less often than the 1920s.",The_Plain_Dealer_1931_10_18_28.csv,,,
