Name,Game_Count,Suffix_Problem
Monticello,907,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...icello' instead"
Decatur,538,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...ecatur' instead"
Mount Vernon,506,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...Vernon' instead"
Medford,442,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...edford' instead"
Garfield,350,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...rfield' instead"
Sandusky,344,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...ndusky' instead"
Westhampton,100,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...ampton' instead"
Aquinas,77,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...quinas' instead"
Fargo North,75,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '... North' instead"
Cawood,66,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...Cawood' instead"
Le Vieux-Longueuil École secondaire Jacques-Rousseau (QC,65,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...au (QC' instead"
Kingston,59,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...ngston' instead"
Hunter,55,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...Hunter' instead"
Bolivar,51,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...olivar' instead"
Rolling Prairie (In),45,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...e (In)' instead"
Jamestown (In),44,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...n (In)' instead"
Willoughby OH),42,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...by OH)' instead"
Cornwall-On-Hudson The Storm King School,39,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...School' instead"
Morris Aggies,38,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...Aggies' instead"
Detroit Eastern,36,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...astern' instead"
Wellsboro,28,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...lsboro' instead"
Plankinton Training Lincoln Loggers (SD),26,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...s (SD)' instead"
Yarbrough,23,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...brough' instead"
Portage County Deerfield (oh),22,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...d (oh)' instead"
Sherman Minnehaha County (SD,16,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...ty (SD' instead"
Kamrar Hamilton County IA),13,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...ty IA)' instead"
18,11,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...18' instead"
Crooksville,10,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...sville' instead"
Columbus) (Columbus Youthbuild (us),9,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...d (us)' instead"
Delta Sands (ia),7,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...s (ia)' instead"
Ashwood Lee County (SC,6,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...ty (SC' instead"
Lovington (NM(,5,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...n (NM(' instead"
Norwalk St. Paul's,5,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...Paul's' instead"
South Delta (ia),5,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...a (ia)' instead"
Grosse Point,5,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '... Point' instead"
11,4,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...11' instead"
Fort Plain,4,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '... Plain' instead"
Andover Day County (SD,4,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...ty (SD' instead"
Fox Point IWI),4,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...t IWI)' instead"
