TownName,State,CollegeName,Notes
Albion,MI,Albion College,
Alma,MI,Alma College,
Adrian,MI,Adrian College,
Olivet,MI,Olivet College,
Hillsdale,MI,Hillsdale College,
Kalamazoo,MI,Kalamazoo College,
Ypsilanti,MI,Michigan State Normal College,Sometimes just "Ypsilanti Normal"
Ripon,WI,Ripon College,
Beloit,WI,Beloit College,
Milton,WI,Milton College,Closed 1982; active this era
Whitewater,WI,Whitewater State Teachers College,
Platteville,WI,Platteville State Teachers College,
River Falls,WI,River Falls State Teachers College,
Superior,WI,Superior State Teachers College,
Stevens Point,WI,Stevens Point State Teachers College,
Eau Claire,WI,Eau Claire State Teachers College,
Oshkosh,WI,Oshkosh State Teachers College,
La Crosse,WI,La Crosse State Teachers College,
Grinnell,IA,Grinnell College,
Dubuque,IA,University of Dubuque,
Yankton,SD,Yankton College,
Huron,SD,Huron College,
Sioux Falls,SD,Sioux Falls College,
Jamestown,ND,Jamestown College,
Valley City,ND,Valley City State Teachers College,
Minot,ND,Minot State Teachers College,
Mayville,ND,Mayville State Teachers College,
Dickinson,ND,Dickinson State Teachers College,
Wahpeton,ND,North Dakota State School of Science (Wahpeton),
Winona,MN,Winona State Teachers College,
Mankato,MN,Mankato State Teachers College,
Moorhead,MN,Moorhead State Teachers College,
St. Cloud,MN,St. Cloud State Teachers College,
Bemidji,MN,Bemidji State Teachers College,
Duluth,MN,Duluth State Teachers College,
Austin,MN,Austin Junior College,
Rochester,MN,Rochester Junior College,
Monmouth,IL,Monmouth College,
Elmhurst,IL,Elmhurst College,
Wheaton,IL,Wheaton College,
Carthage,IL,Carthage College,Located in Carthage IL until 1962 move to WI
Eureka,IL,Eureka College,
Lebanon,IL,McKendree College,Located in Lebanon IL
DeKalb,IL,Northern Illinois State Teachers College,Sometimes just "DeKalb"
Macomb,IL,Western Illinois State Teachers College,Sometimes just "Macomb"
Danville,IL,Danville Junior College,
Joliet,IL,Joliet Junior College,
Normal,IL,Illinois State Normal University,Town is literally named Normal
Hastings,NE,Hastings College,
York,NE,York College,
Kearney,NE,Nebraska State Teachers College (Kearney),
Chadron,NE,Chadron State Teachers College,
Peru,NE,Peru State Teachers College,
Wayne,NE,Wayne State Teachers College,
Grand Island,NE,Grand Island College,Closed 1931 -- most relevant for earliest seasons only
Georgetown,KY,Georgetown College,
Berea,KY,Berea College,
Morehead,KY,Morehead State Teachers College,
Murray,KY,Murray State Teachers College,
Pikeville,KY,Pikeville College,
Marietta,OH,Marietta College,
Wooster,OH,College of Wooster,
Findlay,OH,Findlay College,
Defiance,OH,Defiance College,
Ashland,OH,Ashland College,
Bluffton,OH,Bluffton College,
Bowling Green,OH,Bowling Green State University,Also a Bowling Green KY -- state suffix should disambiguate
Kent,OH,Kent State University,
Oberlin,OH,Oberlin College,
Hiram,OH,Hiram College,
Rio Grande,OH,Rio Grande College,
