cluster,first_block,teams_first_seen
Bakersfield,1940-1944,3
Bakersfield,1945-1949,12
Bakersfield,1950-1954,9
Bakersfield,1955-1959,16
Bakersfield,1960-1964,6
Bakersfield,1965-1969,5
Bakersfield,1970-1974,2
Bakersfield,1975-1979,1
Bakersfield,1980-1984,4
Bakersfield,1985-1989,3
Bakersfield,1990-1994,5
Bakersfield,1995-1999,10
Bakersfield,2000-2004,6
Eureka,1940-1944,5
Eureka,1945-1949,2
Eureka,1950-1954,3
Eureka,1955-1959,3
Eureka,1960-1964,2
Eureka,1965-1969,2
Eureka,1970-1974,6
Eureka,1975-1979,1
Eureka,1990-1994,1
Eureka,1995-1999,1
Fresno,1940-1944,13
Fresno,1945-1949,5
Fresno,1950-1954,7
Fresno,1955-1959,20
Fresno,1960-1964,1
Fresno,1965-1969,3
Fresno,1970-1974,8
Fresno,1975-1979,14
Fresno,1980-1984,1
Fresno,1985-1989,5
Fresno,1990-1994,6
Fresno,1995-1999,4
Fresno,2000-2004,4
Inland Empire,1940-1944,19
Inland Empire,1945-1949,6
Inland Empire,1950-1954,5
Inland Empire,1955-1959,23
Inland Empire,1960-1964,16
Inland Empire,1965-1969,18
Inland Empire,1970-1974,20
Inland Empire,1975-1979,12
Inland Empire,1980-1984,18
Inland Empire,1985-1989,20
Inland Empire,1990-1994,30
Inland Empire,1995-1999,26
Inland Empire,2000-2004,27
Los Angeles,1940-1944,46
Los Angeles,1945-1949,18
Los Angeles,1950-1954,46
Los Angeles,1955-1959,81
Los Angeles,1960-1964,59
Los Angeles,1965-1969,49
Los Angeles,1970-1974,26
Los Angeles,1975-1979,41
Los Angeles,1980-1984,34
Los Angeles,1985-1989,35
Los Angeles,1990-1994,40
Los Angeles,1995-1999,29
Los Angeles,2000-2004,27
Redding,1940-1944,27
Redding,1945-1949,15
Redding,1950-1954,9
Redding,1955-1959,13
Redding,1960-1964,3
Redding,1965-1969,24
Redding,1970-1974,8
Redding,1975-1979,5
Redding,1980-1984,2
Redding,1985-1989,1
Redding,1990-1994,1
Redding,1995-1999,2
Redding,2000-2004,1
Sacramento,1940-1944,34
Sacramento,1945-1949,22
Sacramento,1950-1954,15
Sacramento,1955-1959,20
Sacramento,1960-1964,25
Sacramento,1965-1969,66
Sacramento,1970-1974,17
Sacramento,1975-1979,20
Sacramento,1980-1984,13
Sacramento,1985-1989,6
Sacramento,1990-1994,5
Sacramento,1995-1999,11
Sacramento,2000-2004,8
Salinas,1940-1944,7
Salinas,1945-1949,2
Salinas,1950-1954,9
Salinas,1955-1959,8
Salinas,1960-1964,7
Salinas,1965-1969,4
Salinas,1970-1974,6
Salinas,1975-1979,7
Salinas,1985-1989,1
Salinas,1990-1994,1
Salinas,1995-1999,4
Salinas,2000-2004,1
San Diego,1940-1944,38
San Diego,1945-1949,7
San Diego,1950-1954,9
San Diego,1955-1959,15
San Diego,1960-1964,26
San Diego,1965-1969,16
San Diego,1970-1974,16
San Diego,1975-1979,13
San Diego,1980-1984,11
San Diego,1985-1989,11
San Diego,1990-1994,11
San Diego,1995-1999,10
San Diego,2000-2004,10
San Francisco,1940-1944,15
San Francisco,1945-1949,29
San Francisco,1950-1954,33
San Francisco,1955-1959,26
San Francisco,1960-1964,24
San Francisco,1965-1969,25
San Francisco,1970-1974,41
San Francisco,1975-1979,38
San Francisco,1980-1984,6
San Francisco,1985-1989,1
San Francisco,1990-1994,4
San Francisco,1995-1999,4
San Francisco,2000-2004,6
San Jose,1940-1944,12
San Jose,1945-1949,5
San Jose,1950-1954,11
San Jose,1955-1959,19
San Jose,1960-1964,24
San Jose,1965-1969,22
San Jose,1970-1974,29
San Jose,1975-1979,29
San Jose,1980-1984,3
San Jose,1985-1989,2
San Jose,1990-1994,4
San Jose,1995-1999,4
San Jose,2000-2004,5
Stockton,1940-1944,22
Stockton,1945-1949,8
Stockton,1950-1954,12
Stockton,1955-1959,14
Stockton,1960-1964,7
Stockton,1965-1969,24
Stockton,1970-1974,19
Stockton,1975-1979,3
Stockton,1980-1984,6
Stockton,1985-1989,6
Stockton,1990-1994,9
Stockton,1995-1999,7
Stockton,2000-2004,8
