cluster,block,appearances,active_teams,seasons_present,expected_gpt,actual_gpt,intensity_completeness,est_missing_appearances
Los Angeles,2000-2009,9355,272,4,74.41463414634147,34.393382352941174,0.4621857346675149,10886.0
Los Angeles,1950-1959,3522,185,10,74.41463414634147,19.037837837837838,0.25583459565760447,10245.0
San Francisco,1970-1979,6049,186,10,78.95348837209302,32.52150537634409,0.4119071373145201,8636.0
Los Angeles,1960-1969,11688,262,10,74.41463414634147,44.61068702290076,0.5994880917531731,7809.0
Sacramento,1960-1969,5641,158,10,82.16129032258064,35.70253164556962,0.4345420027533013,7340.0
Los Angeles,1970-1979,14010,281,10,74.41463414634147,49.8576512455516,0.669997935453168,6901.0
Sacramento,1980-1989,6073,156,10,82.16129032258064,38.92948717948718,0.4738178651606214,6744.0
Sacramento,1970-1979,8391,175,10,82.16129032258064,47.94857142857143,0.5835907790678109,5987.0
San Jose,1970-1979,4436,122,10,78.89393939393939,36.36065573770492,0.4608802148431966,5189.0
Inland Empire,2000-2009,3723,118,4,71.56488549618321,31.550847457627118,0.44087050847457626,4722.0
San Francisco,1960-1969,4463,116,10,78.95348837209302,38.474137931034484,0.48730130516479614,4696.0
San Francisco,1950-1959,3107,95,10,78.95348837209302,32.705263157894734,0.414234555460817,4394.0
San Jose,1960-1969,2309,81,10,78.89393939393939,28.506172839506174,0.361322720838757,4081.0
Sacramento,2000-2009,3286,87,4,82.16129032258064,37.770114942528735,0.459706934911029,3862.0
Los Angeles,1990-1999,19353,311,10,74.41463414634147,62.22829581993569,0.8362373414019545,3790.0
San Francisco,2000-2009,3444,91,4,78.95348837209302,37.84615384615385,0.4793474566670443,3741.0
Sacramento,1950-1959,2762,77,10,82.16129032258064,35.87012987012987,0.4365818712108465,3564.0
Sacramento,1940-1949,1039,56,10,82.16129032258064,18.553571428571427,0.22581889057154075,3562.0
Stockton,1970-1979,2756,84,10,74.10606060606061,32.80952380952381,0.442737389374069,3469.0
Stockton,1960-1969,2199,73,10,74.10606060606061,30.123287671232877,0.4064888542836577,3211.0
Los Angeles,1940-1949,1568,64,10,74.41463414634147,24.5,0.32923631596197966,3195.0
San Francisco,1940-1949,310,44,10,78.95348837209302,7.045454545454546,0.08923550676127996,3164.0
Inland Empire,1990-1999,6842,135,10,71.56488549618321,50.681481481481484,0.7081892345679013,2819.0
San Jose,2000-2009,2330,65,4,78.89393939393939,35.84615384615385,0.45435877738547226,2798.0
San Francisco,1980-1989,6163,113,10,78.95348837209302,54.53982300884956,0.69078420894861,2759.0
Inland Empire,1960-1969,2398,72,10,71.56488549618321,33.30555555555556,0.46538962962962965,2755.0
San Diego,1960-1969,3371,86,10,70.82608695652173,39.19767441860465,0.5534355504161491,2720.0
Redding,1960-1969,2501,70,10,73.3529411764706,35.72857142857143,0.48707755756673154,2634.0
Los Angeles,1980-1989,19427,296,10,74.41463414634147,65.63175675675676,0.8819737879472392,2600.0
Inland Empire,1950-1959,688,44,10,71.56488549618321,15.636363636363637,0.21849212121212122,2461.0
San Jose,1950-1959,1221,46,10,78.89393939393939,26.543478260869566,0.3364450864638739,2408.0
Stockton,1950-1959,1608,53,10,74.10606060606061,30.339622641509433,0.4094081157921943,2320.0
Bakersfield,1950-1959,574,37,10,77.875,15.513513513513514,0.19921044640145763,2307.0
San Diego,2000-2009,3246,78,4,70.82608695652173,41.61538461538461,0.5875714218255654,2278.0
Fresno,2000-2009,2050,54,4,78.12698412698413,37.96296296296296,0.485913585263443,2169.0
Stockton,2000-2009,1933,55,4,74.10606060606061,35.14545454545455,0.4742588427724392,2143.0
