cluster,block,games,newspaper_games,newspaper_share
Bakersfield,1940-1944,15,0,0.0
Bakersfield,1945-1949,80,0,0.0
Bakersfield,1950-1954,133,7,0.05
Bakersfield,1955-1959,319,154,0.48
Bakersfield,1960-1964,481,331,0.69
Bakersfield,1965-1969,628,458,0.73
Bakersfield,1970-1974,839,745,0.89
Bakersfield,1975-1979,897,753,0.84
Bakersfield,1980-1984,993,905,0.91
Bakersfield,1985-1989,1125,1007,0.9
Bakersfield,1990-1994,1064,939,0.88
Bakersfield,1995-1999,1150,944,0.82
Bakersfield,2000-2004,1214,200,0.16
Eureka,1940-1944,17,0,0.0
Eureka,1945-1949,60,0,0.0
Eureka,1950-1954,134,17,0.13
Eureka,1955-1959,153,61,0.4
Eureka,1960-1964,171,65,0.38
Eureka,1965-1969,163,52,0.32
Eureka,1970-1974,210,69,0.33
Eureka,1975-1979,197,93,0.47
Eureka,1980-1984,144,62,0.43
Eureka,1985-1989,182,103,0.57
Eureka,1990-1994,184,106,0.58
Eureka,1995-1999,205,127,0.62
Eureka,2000-2004,219,26,0.12
Fresno,1940-1944,57,0,0.0
Fresno,1945-1949,108,0,0.0
Fresno,1950-1954,193,42,0.22
Fresno,1955-1959,676,499,0.74
Fresno,1960-1964,974,858,0.88
Fresno,1965-1969,945,852,0.9
Fresno,1970-1974,1134,1027,0.91
Fresno,1975-1979,1299,1167,0.9
Fresno,1980-1984,1175,1082,0.92
Fresno,1985-1989,1183,1120,0.95
Fresno,1990-1994,1283,1254,0.98
Fresno,1995-1999,1626,1578,0.97
Fresno,2000-2004,1461,314,0.21
Inland Empire,1940-1944,143,0,0.0
Inland Empire,1945-1949,147,0,0.0
Inland Empire,1950-1954,211,0,0.0
Inland Empire,1955-1959,351,101,0.29
Inland Empire,1960-1964,727,464,0.64
Inland Empire,1965-1969,1158,735,0.63
Inland Empire,1970-1974,1601,1211,0.76
Inland Empire,1975-1979,1772,1356,0.77
Inland Empire,1980-1984,2154,1836,0.85
Inland Empire,1985-1989,2322,2043,0.88
Inland Empire,1990-1994,2476,1933,0.78
Inland Empire,1995-1999,2629,2027,0.77
Inland Empire,2000-2004,2702,484,0.18
Los Angeles,1940-1944,443,0,0.0
Los Angeles,1945-1949,642,0,0.0
Los Angeles,1950-1954,876,21,0.02
Los Angeles,1955-1959,1619,478,0.3
Los Angeles,1960-1964,3609,2347,0.65
Los Angeles,1965-1969,4464,2727,0.61
Los Angeles,1970-1974,5107,3856,0.76
Los Angeles,1975-1979,4837,3472,0.72
Los Angeles,1980-1984,6692,5642,0.84
Los Angeles,1985-1989,6989,6132,0.88
Los Angeles,1990-1994,7043,5927,0.84
Los Angeles,1995-1999,6791,5739,0.85
Los Angeles,2000-2004,6522,1250,0.19
Redding,1940-1944,325,0,0.0
Redding,1945-1949,567,0,0.0
Redding,1950-1954,691,97,0.14
Redding,1955-1959,902,481,0.53
Redding,1960-1964,859,764,0.89
Redding,1965-1969,1072,863,0.81
Redding,1970-1974,1528,995,0.65
Redding,1975-1979,1322,485,0.37
