cluster,team_name,first_season,first_news_season
Bakersfield,Alpaugh (CA),1950,
Bakersfield,Arroyo Grande Coastal Christian (CA),1986,
Bakersfield,Atascadero North County Christian (CA),1991,1996.0
Bakersfield,Bakersfield (CA),1940,1954.0
Bakersfield,Bakersfield Centennial (CA),1994,1994.0
Bakersfield,Bakersfield Christian (CA),1998,1998.0
Bakersfield,Bakersfield Community Christian (CA),1995,1995.0
Bakersfield,Bakersfield East (CA),2004,
Bakersfield,Bakersfield East Bakersfield (CA),1945,1955.0
Bakersfield,Bakersfield East Bakersfield JV (CA),1955,1958.0
Bakersfield,Bakersfield East Reserves (CA),1948,
Bakersfield,Bakersfield Foothill (CA),1962,1962.0
Bakersfield,Bakersfield Frontier (CA),2007,
Bakersfield,Bakersfield Garces Memorial (CA),1947,1957.0
Bakersfield,Bakersfield Golden Valley (CA),1998,1998.0
Bakersfield,Bakersfield Highland (CA),1970,1972.0
Bakersfield,Bakersfield Independence (CA),2009,
Bakersfield,Bakersfield JV (CA),1955,1963.0
Bakersfield,Bakersfield Kern County Union (CA),1945,
Bakersfield,Bakersfield Liberty (CA),2000,
Bakersfield,Bakersfield Mira Monte (CA),1997,1997.0
Bakersfield,Bakersfield North (CA),1953,1955.0
Bakersfield,Bakersfield North JV (CA),1955,
Bakersfield,Bakersfield Northwest Christian (CA),2006,
Bakersfield,"Bakersfield Opp """"FHS"""" (CA)",1980,
Bakersfield,"Bakersfield Opp """"Hoover"""" (CA)",1997,
Bakersfield,"Bakersfield Opp """"Kennedy"""" (CA)",1993,1993.0
Bakersfield,"Bakersfield Opp """"Roosevelt"""" (CA)",1945,
Bakersfield,Bakersfield Reserves (CA),1948,
Bakersfield,Bakersfield Ridgeview (CA),1995,1995.0
Bakersfield,Bakersfield Ridgeview JV (CA),1957,1957.0
Bakersfield,Bakersfield South (CA),1957,1957.0
Bakersfield,Bakersfield South JV (CA),1959,
Bakersfield,Bakersfield Valley (CA),1996,1996.0
Bakersfield,Bakersfield Valley Christian (CA),2003,
Bakersfield,Brethren Chino (CA),1982,
Bakersfield,Brown Military Academy JV (CA),1956,
Bakersfield,Brown Military Junior College (CA),1941,
Bakersfield,Carpinteria (CA),1948,1960.0
Bakersfield,China Lake Acres (CA),1963,
Bakersfield,Christina (CA),1985,
Bakersfield,Delano (CA),1948,1954.0
Bakersfield,Delano Chavez (CA),2003,
Bakersfield,Delano JV (CA),1966,1966.0
Bakersfield,Delano Kennedy (CA),2009,
Bakersfield,Delano Reserves (CA),1952,
Bakersfield,East Bakersfield JV (CA),1961,1961.0
Bakersfield,Frazier Park (CA),1995,1995.0
Bakersfield,Goleta Dos Pueblos (CA),1967,1967.0
Bakersfield,Grant Ramblers (CA),1951,
Bakersfield,Inyo-Kerr (CA),1950,
Bakersfield,Kernville Kern Valley (CA),1981,
Bakersfield,Lake Isabella Kern Valley (CA),1955,1960.0
Bakersfield,Lebec Frazier Mountain (CA),1995,1995.0
Bakersfield,Lompoc (CA),1950,1960.0
Bakersfield,Lompoc Cabrillo (CA),1964,1964.0
Bakersfield,"Lompoc Cabrillo Opp """"South"""" (CA)",1969,
Bakersfield,Los Olivos Dunn (CA),2005,
Bakersfield,Maricopa (CA),1947,1967.0
Bakersfield,McFarland (CA),1947,1957.0
Bakersfield,"McFarland Opp """"Valley"""" (CA)",1997,1997.0
Bakersfield,Mission Hills Alemany (CA),1958,1959.0
Bakersfield,Mission Hills Bishop Alemany (CA),1960,
Bakersfield,Mojave (CA),1957,1960.0
Bakersfield,Mojave Douglas (CA),1957,1961.0
Bakersfield,New Cuyama Cuyama Valley (CA),1959,1959.0
Bakersfield,Nipomo (CA),2003,
Bakersfield,Pismo Beach Coastal Christian (CA),1980,1980.0
Bakersfield,Porterville (CA),1951,1954.0
Bakersfield,Porterville Granite Hills (CA),2001,
Bakersfield,Porterville JV (CA),1958,1958.0
Bakersfield,Porterville Monache (CA),1969,1969.0
Bakersfield,Ridgecrest Burroughs (CA),1956,1958.0
Bakersfield,Ridgecrest Immanuel Christian (CA),1994,1994.0
Bakersfield,Santa Barbara (CA),1940,1959.0
Bakersfield,Santa Barbara Bishop Diego (CA),1960,1960.0
Bakersfield,Santa Barbara Catholic (CA),1947,
Bakersfield,Santa Barbara Laguna Blanca (CA),2000,2000.0
Bakersfield,"Santa Maria St. Joseph Opp """"Northridge"""" (CA)",1967,
Bakersfield,Santa Maria Valley Christian Academy (CA),1976,1976.0
Bakersfield,"Shafter Opp """"North"""" (CA)",1955,
Bakersfield,South Bakersfield (CA),1973,
Bakersfield,Taft (CA),1945,1955.0
Bakersfield,Taft JV (CA),1954,
Bakersfield,"Tehachapi Opp """"Highland"""" (CA)",1991,
Bakersfield,Trona (CA),1950,1959.0
Bakersfield,Trona Unified (CA),1955,
Bakersfield,Tulare Mission Oak (CA),2009,
Bakersfield,Vista Rancho Buena Vista (CA),1987,1990.0
Eureka,Arcata Alumni (CA),1955,1955.0
Eureka,Arcata JV (CA),1970,
Eureka,Crescent City Del Norte JV (CA),1952,
Eureka,"Crescent City Del Norte Opp """"Huskies"""" (CA)",1968,
Eureka,Eureka Alumni (CA),1940,1954.0
Eureka,Eureka JV (CA),1954,1954.0
Eureka,Eureka Reserves (CA),1958,1958.0
Eureka,Ferndale JV (CA),1979,1979.0
Eureka,Fort Bragg (CA),1940,1954.0
Eureka,Fort Bragg JV (CA),1973,1973.0
Eureka,Fortuna (CA),1945,1954.0
Eureka,Fortuna Alumni (CA),1948,
Eureka,Fortuna JV (CA),1970,1975.0
Eureka,Happy Camp (CA),1940,1960.0
Eureka,Happy Camp Alumni (CA),1950,
Eureka,Happy Camp JV (CA),1970,1970.0
Eureka,Hoopa Valley (CA),1940,1954.0
Eureka,Hoopa Valley JV (CA),1969,1969.0
Eureka,Laytonville JV (CA),1971,1971.0
Eureka,McKinleyville (CA),1961,1961.0
Eureka,McKinleyville JV (CA),1970,1979.0
Eureka,Newport (CA),1942,
Eureka,Orleans (CA),1958,
Eureka,Pine Grove Community Christian (CA),1990,1990.0
Eureka,Riverside Norte Vista (CA),1962,1962.0
Eureka,Willow Creek Trinity Valley (CA),1998,
Fresno,Avenal (CA),1947,1957.0
Fresno,Bear Valley Unified (CA),1994,1994.0
Fresno,Big Pine (CA),1957,1960.0
Fresno,"Big Pine Opp """"In. Christian"""" (CA)",1982,
Fresno,Bishop Union (CA),1957,1959.0
Fresno,Bishop's (CA),1996,
Fresno,"Caruthers Opp """"Central"""" (CA)",1956,
Fresno,Centerville Washington Union (CA),1956,1956.0
Fresno,Chowchilla (CA),1947,1954.0
Fresno,Clovis (CA),1942,1954.0
Fresno,Clovis Buchanan (CA),1993,1993.0
Fresno,Clovis Christian (CA),2007,
Fresno,Clovis East (CA),2000,2000.0
Fresno,Clovis JV (CA),1959,1959.0
Fresno,Coalinga Faith Christian (CA),2008,
Fresno,Dinuba (CA),1950,1955.0
