team_id,team_name,season,season_url,raw_schedule_text
1,Fort Elliott Cougars,2003,https://lonestarfootball.net/team.asp?action=schedule&T=1&S=2003&GUID=2632685900,"Record: 2-8-0   Head Coach: Curtis Smith
WK Team SC Team SC    
1  3Hedleyv 52 LFort Elliottv 34
2  LNorthsidev 46 LFort Elliotty 0
9/19  *Silvertonv 68 LFort Elliottv 37
4  LMiami) 64 LFort Elliottv 19
5  LFort Elliottv 67 #Higginsv 24
6  7McLeanv 42 LFort Elliottv 27
7  nLefors) 64 LFort Elliottv 53
8  *Groomv 36 LFort Elliottv 34
10/31  LFort Elliottv 39 PSamnorwoodv 26 D
10  PFollettv 57 LFort Elliottp 8



"
1,Fort Elliott Cougars,2002,https://lonestarfootball.net/team.asp?action=schedule&T=1&S=2002&GUID=7012031674,"Record: 12-1-0   Head Coach: Curtis Smith
WK Team SC Team SC    
0  LFort Elliottv 42 LFloyd, NMv 22 E
1  LFort Elliottv 46 3Hedleyy 0
2  LFort Elliottv 51 LNorthsidey 0
4  LFort Elliottv 49 LMiamiy 0
5  LFort Elliottv 56 #Higginsy 0
6  LFort Elliottv 52 7McLeanf 6
7  LFort Elliottv 46 nLeforsy 0
8  LFort Elliottv 59 *Grooms 14
11/2  LFort Elliott$ 45 PSamnorwoody 0 D
10  LFort Elliotta 48 PFolletty 0
11/14  LFort Elliottv 59 *Silvertons 14 B
11/22  LFort Elliottv 28 nWhitharral @Valleyv 22 R
11/30  #Sands @Turkey$ 45 LFort Elliottv 41 Q



"
1,Fort Elliott Cougars,2001,https://lonestarfootball.net/team.asp?action=schedule&T=1&S=2001&GUID=1218202114,"Record: 6-4-0   Head Coach: Curtis Smith
WK Team SC Team SC    
1  LFort Elliotta 48 3Hedleyy 0
2  LFort Elliottv 49 #Higginsy 0
3  TValleyt 50 LFort Elliottv 30
4  *Groom) 64 LFort Elliottp 8
5  LFort Elliottt 50 nChillicothey 0
6  PFolletta 48 LFort Elliottv 36
7  LFort Elliotta 48 7McLeany 0
8  LFort Elliottv 70 #Higginsv 25
9  LMiamiv 36 LFort Elliottv 33
10  LFort Elliottv 52 nLeforsf 6



"
1,Fort Elliott Cougars,2000,https://lonestarfootball.net/team.asp?action=schedule&T=1&S=2000&GUID=5943898559,"Record: 5-5-0   Head Coach: Curtis Smith
WK Team SC Team SC    
1  LFort Elliottt 50 3Hedleyy 0
2  LFort Elliotta 48 #Higginsy 0
3  LFort Elliottv 33 TValleyv 28
4  *Groomv 20 LFort Elliottv 12
5  LFort Elliottv 76 nChillicothev 51
6  PFollettv 76 LFort Elliottv 46
7  7McLeanv 58 LFort Elliottv 36
8  LFort Elliottv 47 #Higginsy 0
9  LMiamiv 70 LFort Elliottv 31
10  nLeforsv 66 LFort Elliottv 31



"
1,Fort Elliott Cougars,1999,https://lonestarfootball.net/team.asp?action=schedule&T=1&S=1999&GUID=7078393698,"Record: 6-4-0   Head Coach: Curtis Smith
WK Team SC Team SC    
0  LFort Elliottt 50 7Trinity Fellowshipy 0
1  LFort Elliotta 48 nLeforsv 46
2  #Higginsv 43 LFort Elliottv 32
3  LFort Elliottv 54 LNorthsidef 6
4  LFort Elliottv 59 TLueders-Avocav 38
6  LMiamia 48 LFort Elliottv 25
7  *Groomv 54 LFort Elliottv 12
8  LFort Elliottv 58 #Higginss 14
9  PFollettv 76 LFort Elliottv 39
10  LFort Elliottv 63 nLeforsv 34



"
1,Fort Elliott Cougars,1998,https://lonestarfootball.net/team.asp?action=schedule&T=1&S=1998&GUID=6330700517,"Record: 5-4-0   Head Coach: Curtis Smith
WK Team SC Team SC    
1  LFort Elliottv 69 nLeforsv 20
2  LFort Elliottv 47 #Higginsv 28
3  LFort Elliottv 75 LNorthside7 55
4  LFort Elliottv 60 LClovis Christian, NMv 22
6  LMiamiv 58 LFort Elliottv 28
7  *Groomv 52 LFort Elliottf 6
8  #Higginsv 46 LFort Elliottv 31
9  PFollettv 54 LFort Elliottd 7
10  LFort Elliottv 54 nLeforsv 51



"
1,Fort Elliott Cougars,1996,https://lonestarfootball.net/team.asp?action=schedule&T=1&S=1996&GUID=8573780059,"Record: 5-4-0   Head Coach: Curtis Smith
WK Team SC Team SC    
1  LFort Elliottv 43 TMiami JVs 14
2  LFort Elliottv 39 LMcLean JV8 13
3  LFort Elliottv 49 nLeforss 14
4  LFort Elliottv 43 3Christiany 0
5  LFort Elliottv 53 3Hedleyv 12
6  nLeforsv 62 LFort Elliottv 31
7  PFollettv 52 LFort Elliottv 19
8  *Groomv 68 LFort Elliottv 31
9  LMiami7 55 LFort Elliottv 26



"
2,Follett Panthers,2003,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=2003&GUID=6755207181,"Record: 11-1-0   Head Coach: Rob Buffa
WK Team SC Team SC    
8/29  PFollettv 51 TLazbuddief 6
1  PFollettv 54 xLogan, NMv 20
3  PFollettv 60 TValley7 55
4  PFollettt 50 #Higginsy 0
5  PFollett$ 45 7McLeanv 24
6  PFollettt 50 nLeforss 14
7  PFollettv 52 *Groomf 6
10/24  PFollettv 46 PSamnorwoody 0 D
9  PFollettv 49 LMiamiv 30
10  PFollettv 57 LFort Elliottp 8
11/14  PFollettv 51 3Patton Springs @Groomv 35 B
11/22  nWhitharral @Groomv 38 PFollett3 21 R



"
2,Follett Panthers,2002,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=2002&GUID=7289273739,"Record: 7-3-0   Head Coach: Rob Buffa
WK Team SC Team SC    
8/30  PFollettv 36 TLazbuddiev 12
3  TValleyv 59 PFollettv 27
4  PFollettt 50 #Higginsy 0
5  PFolletta 48 7McLeany 0
6  PFollettv 60 nLeforsv 34
7  PFollettv 46 *Groomy 0
10/25  PFollettv 35 PSamnorwoodf 6 D
9  PFollettv 34 LMiamis 14
10  LFort Elliotta 48 PFolletty 0
11  TValleyv 46 PFolletty 0 B



"
2,Follett Panthers,2001,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=2001&GUID=5687074065,"Record: 11-1-0   Head Coach: Rob Buffa
WK Team SC Team SC    
8/31  PFollettv 56 TLazbuddiev 32
1  PFollettv 37 mHappyv 22
9/14  PFollettv 52 nGreenville Christianf 6
9/21  PFollett) 64 PSamnorwoodv 18
5  PFollettv 60 #Higginss 14
6  PFolletta 48 LFort Elliottv 36
7  PFollettv 58 #Higginsf 6
8  PFollettv 72 nLeforsv 24
9  PFollett) 64 7McLeanv 12
10  PFollettv 38 LMiamir 16
11  PFollettv 44 TValleyv 24 B
11/24  nWhitharral @Valleyv 51 PFollettv 26 R



"
