team_id,team_name,season,week,team1_raw,score1,team2_raw,score2,notes
261,@Amarillo,2003,35,nSan Angelo Centralv,28,LAmarillod,7,D
261,@Amarillo,2003,36,3Pampav,31,LAmarillov,17,
261,@Amarillo,2003,37,POdessa Permianv,28,LAmarillo3,21,
261,@Amarillo,2003,38,PMidland Highv,35,LAmarillov,15,
261,@Amarillo,2003,39,LAmarillov,9,nPalo Durof,6,
261,@Amarillo,2003,40,LAmarillov,52,TLubbock Estacadof,6,
261,@Amarillo,2003,41,LAmarillo8,13,LTascosav,3,D
261,@Amarillo,2003,42,LAmarillor,16,xLubbock Coronadov,10,D
261,@Amarillo,2003,43,LAmarillov,59,#Lubbockv,28,D
261,@Amarillo,2003,44,LAmarillov,17,*Lubbock Monterey8,13,D
261,@Amarillo,2003,45,PEl Paso Andressv,35,L@Amarillov,27,B
261,@Amarillo,2002,35,3Pampav,23,LAmarillor,16,
261,@Amarillo,2002,36,POdessa Permianv,52,LAmarillos,14,
261,@Amarillo,2002,37,PMidland Highv,28,LAmarillof,6,
261,@Amarillo,2002,38,nPalo Duros,14,LAmarilloy,0,
261,@Amarillo,2002,39,LAmarillov,30,TLubbock Estacado3,21,
261,@Amarillo,2002,40,LAmarillov,10,LTascosay,0,D
261,@Amarillo,2002,41,LAmarillor,16,nSan Angelo Centralv,9,D
261,@Amarillo,2002,42,xLubbock Coronadov,24,LAmarillov,17,D
261,@Amarillo,2002,43,LAmarillov,31,#Lubbockv,29,D
261,@Amarillo,2002,44,*Lubbock Montereyv,32,LAmarilloy,0,D
261,@Amarillo,2002,45,L@Amarillov,27,PFranklin8,13,B
261,@Amarillo,2002,46,T@Abilene Cooperv,35,LAmarillov,24,A
261,@Amarillo,2001,35,nPalo Durov,20,LAmarillos,14,
261,@Amarillo,2001,36,LAmarillov,10,#Plainviewv,9,
261,@Amarillo,2001,37,LAmarillov,10,3Pampad,7,
261,@Amarillo,2001,38,POdessa Permian3,21,LAmarillov,10,
261,@Amarillo,2001,39,PMidland Highv,31,LAmarillof,6,
261,@Amarillo,2001,40,LAmarillov,20,nSan Angelo Centraly,0,D
261,@Amarillo,2001,41,*Lubbock Montereyv,35,LAmarilloy,0,D
261,@Amarillo,2001,42,LAmarillov,20,TKeller Centraly,0,D
261,@Amarillo,2001,43,LAmarillov,17,xLubbock Coronadov,10,D
261,@Amarillo,2001,44,LTascosav,19,LAmarillo8,13,D
261,@Amarillo,2001,45,LAmarillov,42,#Lubbocky,0,D
261,@Amarillo,2001,46,P@Abilenes,14,LAmarillod,7,B
261,@Amarillo,2000,35,PMidland Highv,17,LAmarillov,10,
261,@Amarillo,2000,36,LAmarillov,28,nPalo Durof,6,
261,@Amarillo,2000,37,LAmarillos,14,#Plainviewd,7,
261,@Amarillo,2000,38,POdessa Permianv,35,LAmarillos,14,
261,@Amarillo,2000,39,LAmarillo3,21,LTascosas,14,D
261,@Amarillo,2000,40,LAmarillov,10,xLubbock Coronadod,7,D
261,@Amarillo,2000,41,LAmarillov,29,#Lubbockf,6,D
261,@Amarillo,2000,42,*Lubbock Montereyv,35,LAmarillo3,21,D
261,@Amarillo,2000,43,nSan Angelo Centralv,39,LAmarillov,28,D
261,@Amarillo,2000,44,TAbilene Cooperv,26,LAmarilloy,0,B
261,@Amarillo,1999,35,LAmarillov,31,"*Clovis, NMy",0,
261,@Amarillo,1999,36,LAmarillov,42,nPalo Durov,20,
261,@Amarillo,1999,37,LAmarillo$,45,LDumasy,0,
261,@Amarillo,1999,38,LAmarillo3,21,POdessa Permians,14,
261,@Amarillo,1999,39,LAmarillov,23,3Pampay,0,
261,@Amarillo,1999,40,LAmarilloa,48,LTascosad,7,D
261,@Amarillo,1999,41,LAmarillov,27,xLubbock Coronadod,7,D
261,@Amarillo,1999,42,LAmarillov,34,#Lubbockd,7,D
261,@Amarillo,1999,43,LAmarillov,23,*Lubbock Montereyv,12,D
261,@Amarillo,1999,44,LAmarillov,10,nSan Angelo Centralv,3,D
261,@Amarillo,1999,45,LAmarillov,33,TAbilene Cooperv,30,B
261,@Amarillo,1999,46,L@Amarillov,37,nEastwoodr,16,A
261,@Amarillo,1999,47,TSouth Grand Prairiev,35,LAmarillo8,13,R
261,@Amarillo,1998,35,LAmarillor,16,"*Clovis, NMv",9,
261,@Amarillo,1998,36,LAmarillov,20,nPalo Duroy,0,
261,@Amarillo,1998,37,LAmarillov,27,LDumasd,7,
261,@Amarillo,1998,38,POdessa Permianv,25,LAmarillo8,13,
