team_id,team_name,season,week,team1_raw,score1,team2_raw,score2,notes
261,@Amarillo,2003,35,Record: 6-,5,-,0,
261,@Amarillo,2003,36,nSan Angelo Central,28,LAmarillod,7,D
261,@Amarillo,2003,37,Pampa,31,LAmarillo,17,
261,@Amarillo,2003,38,PMidland High,35,LAmarillo,15,
261,@Amarillo,2003,39,LAmarillo,9,nPalo Durof,6,
261,@Amarillo,2003,40,LAmarillo,52,TLubbock Estacadof,6,
261,@Amarillo,2003,41,LAmarillo8,13,LTascosa,3,D
261,@Amarillo,2003,42,LAmarillor,16,xLubbock Coronado,10,D
261,@Amarillo,2003,43,LAmarillo,59,#Lubbock,28,D
261,@Amarillo,2003,44,PEl Paso Andress,35,L,27,B
261,@Amarillo,2002,35,Record: 5-,7,-,0,
261,@Amarillo,2002,36,Pampa,23,LAmarillor,16,
261,@Amarillo,2002,37,POdessa Permian,52,LAmarillos,14,
261,@Amarillo,2002,38,PMidland High,28,LAmarillof,6,
261,@Amarillo,2002,39,nPalo Duros,14,LAmarilloy,0,
261,@Amarillo,2002,40,LAmarillo,10,LTascosay,0,D
261,@Amarillo,2002,41,LAmarillor,16,nSan Angelo Central,9,D
261,@Amarillo,2002,42,xLubbock Coronado,24,LAmarillo,17,D
261,@Amarillo,2002,43,LAmarillo,31,#Lubbock,29,D
261,@Amarillo,2002,44,*Lubbock Monterey,32,LAmarilloy,0,D
261,@Amarillo,2002,45,T,35,LAmarillo,24,A
261,@Amarillo,2001,35,Record: 6-,6,-,0,
261,@Amarillo,2001,36,nPalo Duro,20,LAmarillos,14,
261,@Amarillo,2001,37,LAmarillo,10,#Plainview,9,
261,@Amarillo,2001,38,POdessa Permian3,21,LAmarillo,10,
261,@Amarillo,2001,39,PMidland High,31,LAmarillof,6,
261,@Amarillo,2001,40,LAmarillo,20,nSan Angelo Centraly,0,D
261,@Amarillo,2001,41,*Lubbock Monterey,35,LAmarilloy,0,D
261,@Amarillo,2001,42,LAmarillo,20,TKeller Centraly,0,D
261,@Amarillo,2001,43,LAmarillo,17,xLubbock Coronado,10,D
261,@Amarillo,2001,44,LAmarillo,42,#Lubbocky,0,D
261,@Amarillo,2001,45,P,14,LAmarillod,7,B
261,@Amarillo,2000,35,Record: 5-,6,-,0,
261,@Amarillo,2000,36,Pampa3,21,LAmarillo,10,
261,@Amarillo,2000,37,PMidland High,17,LAmarillo,10,
261,@Amarillo,2000,38,LAmarillo,28,nPalo Durof,6,
261,@Amarillo,2000,39,LAmarillos,14,#Plainviewd,7,
261,@Amarillo,2000,40,POdessa Permian,35,LAmarillos,14,
261,@Amarillo,2000,41,LAmarillo3,21,LTascosas,14,D
261,@Amarillo,2000,42,LAmarillo,10,xLubbock Coronadod,7,D
261,@Amarillo,2000,43,LAmarillo,29,#Lubbockf,6,D
261,@Amarillo,2000,44,nSan Angelo Central,39,LAmarillo,28,D
261,@Amarillo,2000,45,TAbilene Cooper,26,LAmarilloy,0,B
261,@Amarillo,1999,35,LAmarillo,31,"*Clovis, NMy",0,
261,@Amarillo,1999,36,LAmarillo,42,nPalo Duro,20,
261,@Amarillo,1999,37,LAmarillo,45,LDumasy,0,
261,@Amarillo,1999,38,LAmarillo3,21,POdessa Permians,14,
261,@Amarillo,1999,39,LAmarilloa,48,LTascosad,7,D
261,@Amarillo,1999,40,LAmarillo,27,xLubbock Coronadod,7,D
261,@Amarillo,1999,41,LAmarillo,34,#Lubbockd,7,D
261,@Amarillo,1999,42,LAmarillo,23,*Lubbock Monterey,12,D
261,@Amarillo,1999,43,LAmarillo,10,nSan Angelo Central,3,D
261,@Amarillo,1999,44,LAmarillo,33,TAbilene Cooper,30,B
261,@Amarillo,1999,45,L,37,nEastwoodr,16,A
261,@Amarillo,1998,35,Record: 9-,4,-,0,
261,@Amarillo,1998,36,LAmarillor,16,"*Clovis, NM",9,
261,@Amarillo,1998,37,LAmarillo,20,nPalo Duroy,0,
261,@Amarillo,1998,38,LAmarillo,27,LDumasd,7,
261,@Amarillo,1998,39,LTascosa3,21,LAmarillor,16,D
261,@Amarillo,1998,40,LAmarillo,20,xLubbock Coronado,17,D
261,@Amarillo,1998,41,LAmarillo,32,#Lubbockd,7,D
261,@Amarillo,1998,42,LAmarillo,35,*Lubbock Montereyd,7,D
261,@Amarillo,1998,43,nSan Angelo Central8,13,LAmarillo,12,D
