Sport,Home,Away,Date/Time,Score,Status,ScrapedAt
,Football,Grand Rapids Northview,To Be Determined,,Processed,2025-02-01T18:16:48.340022
,Football,Pickerington North (OH),Lakewood St Edward (OH),0-28,Processed,2025-02-01T18:16:48.382666
,Football,Grand Rapids Catholic Central,To Be Determined,,Processed,2025-02-01T18:16:48.422432
,Football,Canton McKinley (OH),Warren G. Harding (OH),26-19,Processed,2025-02-01T18:16:48.466710
,Football,Cincinnati Elder (OH),Cincinnati Withrow (OH),28-6,Processed,2025-02-01T18:16:48.505392
,Football,Greenville,Grand Rapids South Christian,,Processed,2025-02-01T18:16:48.542562
,Football,Cincinnati Princeton (OH),Cincinnati Moeller (OH),20-38,Processed,2025-02-01T18:16:48.589438
,Football,Cleveland Heights (OH),Trotwood-Madison (OH),6-0,Processed,2025-02-01T18:16:48.630164
,Football,Edon (OH),Edgerton (OH),36-26,Processed,2025-02-01T18:16:48.672683
,Football,Gibsonburg (OH),Toledo Ottawa Hills (OH),26-7,Processed,2025-02-01T18:16:48.715578
,Football,Holland Springfield (OH),Maumee (OH),8-41,Processed,2025-02-01T18:16:48.760702
,Football,Kewaunee (WI),Racine Lutheran (WI),34-14,Processed,2025-02-01T18:16:48.802263
,Football,Marinette (WI),Clintonville (WI),46-6,Processed,2025-02-01T18:16:48.839538
,Football,Medina (OH),Stow-Munroe Falls (OH),42-14,Processed,2025-02-01T18:16:48.878236
,Football,Mentor (OH),Jackson (OH),36-13,Processed,2025-02-01T18:16:48.920007
,Football,North Baltimore (OH),Vanlue (OH),56-14,Processed,2025-02-01T18:16:48.963526
,Football,Northwood (OH),Rossford (OH),14-21,Processed,2025-02-01T18:16:49.007110
,Football,Pioneer North Central (OH),Elmore Woodmore (OH),0-37,Processed,2025-02-01T18:16:49.048456
,Football,Portage (IN),Hammond Morton (IN),45-17,Processed,2025-02-01T18:16:49.091309
,Football,St John Lake Central (IN),Munster (IN),38-0,Processed,2025-02-01T18:16:49.134154
,Football,Sylvania Northview (OH),Sylvania Southview (OH),0-42,Processed,2025-02-01T18:16:49.174526
,Football,Toledo Central Catholic (OH),Findlay (OH),54-21,Processed,2025-02-01T18:16:49.220241
,Football,Toledo St Francis De Sales (OH),Perrysburg (OH),21-28,Processed,2025-02-01T18:16:49.264097
,Football,Toledo St John's Jesuit (OH),Wapakoneta (OH),21-35,Processed,2025-02-01T18:16:49.310085
,Football,Toledo Whitmer (OH),Dublin Coffman (OH),42-14,Processed,2025-02-01T18:16:49.354207
,Football,Walkterton John Glenn (IN),Boone Grove (IN),27-17,Processed,2025-02-01T18:16:49.392881
,Football,West Unity Hilltop (OH),Morral Ridgedale (OH),13-14,Processed,2025-02-01T18:16:49.434906
,Football,Whitko (IN),LaGrange Prairie Heights (IN),14-56,Processed,2025-02-01T18:16:49.474100
,Football,Ada Forest Hills Eastern,Montague,48-7,Processed,2025-02-01T18:16:49.520646
,Football,Algonac,Marine City Cardinal Mooney,31-28,Processed,2025-02-01T18:16:49.560418
,Football,Alma,Shepherd,13-20,Processed,2025-02-01T18:16:49.600307
,Football,Ann Arbor Father Gabriel Richard,Detroit University Prep,61-24,Processed,2025-02-01T18:16:49.641629
,Football,Ann Arbor Pioneer,Adrian,27-17,Processed,2025-02-01T18:16:49.683524
,Football,Auburn Hills Avondale,Cedar Springs,14-20,Processed,2025-02-01T18:16:49.723378
,Football,Bark River-Harris,Ishpeming Westwood,12-36,Processed,2025-02-01T18:16:49.761506
,Football,Bath,Chesaning,12-52,Processed,2025-02-01T18:16:49.802250
,Football,Battle Creek Central,Byron Center,6-42,Processed,2025-02-01T18:16:49.842412
,Football,Battle Creek Lakeview,Battle Creek Harper Creek,0-44,Processed,2025-02-01T18:16:49.888831
,Football,Battle Creek Pennfield,Lake Odessa Lakewood,6-27,Processed,2025-02-01T18:16:49.938454
,Football,Big Rapids,Paw Paw,14-32,Processed,2025-02-01T18:16:49.987898
,Football,Birch Run,Carrollton,41-0,Processed,2025-02-01T18:16:50.032817
,Football,Birmingham Seaholm,Troy Athens,42-0,Processed,2025-02-01T18:16:50.081431
,Football,Bloomfield Hills,Troy,7-35,Processed,2025-02-01T18:16:50.128272
,Football,Bloomfield Hills Cranbrook Kingswood,International Academy of Flint,48-0,Processed,2025-02-01T18:16:50.171661
,Football,Bridgeport,Gwinn,6-14,Processed,2025-02-01T18:16:50.214462
,Football,Brooklyn Columbia Central,Adrian Madison,13-17,Processed,2025-02-01T18:16:50.257078
,Football,Brownstown Woodhaven,Wyandotte Roosevelt,20-0,Processed,2025-02-01T18:16:50.298880
,Football,Buchanan,Saugatuck,32-6,Processed,2025-02-01T18:16:50.340179
,Football,Burton Atherton,Vassar,7-31,Processed,2025-02-01T18:16:50.379792
,Football,Caledonia,Windsor Holy Names (CN),48-7,Processed,2025-02-01T18:16:50.419328
,Football,Calumet,West Iron County,50-0,Processed,2025-02-01T18:16:50.461484
,Football,Carleton Airport,Gibraltar Carlson,7-45,Processed,2025-02-01T18:16:50.505237
,Football,Caro,North Branch,0-68,Processed,2025-02-01T18:16:50.550615
,Football,Cass City,Harbor Beach,22-24 (OT),Processed,2025-02-01T18:16:50.594490
,Football,Cassopolis,Allegan,18-54,Processed,2025-02-01T18:16:50.639589
,Football,Central Montcalm,Houghton Lake,55-26,Processed,2025-02-01T18:16:50.683409
,Football,Centreville,Union City,0-27,Processed,2025-02-01T18:16:50.726256
,Football,Clare,Grayling,51-7,Processed,2025-02-01T18:16:50.771690
,Football,Clawson,Perry,21-14,Processed,2025-02-01T18:16:50.815410
,Football,Clinton,Monroe St Mary Catholic Central,14-22,Processed,2025-02-01T18:16:50.858716
,Football,Clinton Township Clintondale,Addison,12-20,Processed,2025-02-01T18:16:50.903508
,Football,Clio,Mt Morris,8-25,Processed,2025-02-01T18:16:50.949594
,Football,Coloma,Watervliet,34-28,Processed,2025-02-01T18:16:50.996594
,Football,Constantine,Delton Kellogg,50-8,Processed,2025-02-01T18:16:51.041271
,Football,Coopersville,Otsego,41-0,Processed,2025-02-01T18:16:51.087320
,Football,Corunna,Fowlerville,21-14,Processed,2025-02-01T18:16:51.132027
,Football,Dansville,Springport,13-28,Processed,2025-02-01T18:16:51.173401
,Football,"Xenith Prep Kickoff Classic
Davison",Warren De La Salle Collegiate,3-21,Processed,2025-02-01T18:16:51.218102
,Football,Dearborn,Detroit Catholic Central,12-56,Processed,2025-02-01T18:16:51.256709
,Football,Dearborn Fordson,Macomb Dakota,17-38,Processed,2025-02-01T18:16:51.295485
,Football,Dearborn Heights Annapolis,Detroit Voyageur College Prep,0-68,Processed,2025-02-01T18:16:51.339388
,Football,Dearborn Heights Crestwood,Eastpointe,59-0,Processed,2025-02-01T18:16:51.381249
,Football,Dearborn Heights Robichaud,Detroit Communication Media Arts,46-0,Processed,2025-02-01T18:16:51.427304
,Football,Decatur,Galesburg-Augusta,54-19,Processed,2025-02-01T18:16:51.475579
,Football,Detroit Country Day,Portland,25-39,Processed,2025-02-01T18:16:51.525987
,Football,Detroit Edison,Detroit Southeastern,24-6,Processed,2025-02-01T18:16:51.571296
,Football,Detroit Henry Ford,Center Line,26-14,Processed,2025-02-01T18:16:51.614850
,Football,Detroit Mumford,Redford Thurston,6-47,Processed,2025-02-01T18:16:51.661558
,Football,Detroit U of D Jesuit,Birmingham Groves,14-35,Processed,2025-02-01T18:16:51.724186
,Football,Dowagiac,South Haven,21-11,Processed,2025-02-01T18:16:51.768590
,Football,East Jackson,Lutheran Westland,28-35,Processed,2025-02-01T18:16:51.810597
,Football,East Jordan,Manistique,48-6,Processed,2025-02-01T18:16:51.851571
,Football,East Kentwood,Hartland,21-0,Processed,2025-02-01T18:16:51.894521
