Date,Host,Opponent,Score1,Score2,GameLink,OpponentLink
Unknown,The Philemon Wright Falcons,IMMACULATA,13,29,https://scorestream.com/game/philemon-wright-vs-immaculata-1473328,https://scorestream.com/team/immaculata-high-school-saints-298303
Unknown,The Philemon Wright Falcons,ASHBURY COLLEGE,34,20,https://scorestream.com/game/ashbury-college-vs-philemon-wright-1473317,https://scorestream.com/team/ashbury-college-colts-279779
Unknown,The Philemon Wright Falcons,COLONEL BY,0,0,https://scorestream.com/game/colonel-by-vs-philemon-wright-1473308,https://scorestream.com/team/colonel-by-secondary-school-cougars-298304
Unknown,The Philemon Wright Falcons,ST. MATTHEW,7,0,https://scorestream.com/game/philemon-wright-vs-st-matthew-1473304,https://scorestream.com/team/st-matthew-high-school-tigers-292135
Unknown,The Immaculata Saints,ST. JOSEPH,23,0,https://scorestream.com/game/immaculata-vs-st-joseph-2935853,https://scorestream.com/team/st-joseph-high-school-jaguars-297361
Unknown,The Immaculata Saints,SACRED HEART CATHOLIC,20,6,https://scorestream.com/game/sacred-heart-catholic-vs-immaculata-2872561,https://scorestream.com/team/sacred-heart-catholic-high-school-cosmos-283073
Unknown,The Immaculata Saints,SACRED HEART CATHOLIC,16,6,https://scorestream.com/game/immaculata-vs-sacred-heart-catholic-2845687,https://scorestream.com/team/sacred-heart-catholic-high-school-cosmos-283073
Unknown,The Immaculata Saints,SACRED HEART CATHOLIC,0,0,https://scorestream.com/game/sacred-heart-catholic-vs-immaculata-2766168,https://scorestream.com/team/sacred-heart-catholic-high-school-huskies-306372
Unknown,The Immaculata Saints,ST PETER CATHOLIC,0,0,https://scorestream.com/game/st-peter-catholic-vs-immaculata-2766162,https://scorestream.com/team/st-peter-catholic-high-school-knights-279110
Unknown,The Immaculata Saints,COLONEL BY,0,0,https://scorestream.com/game/immaculata-vs-colonel-by-2766152,https://scorestream.com/team/colonel-by-secondary-school-cougars-298304
Unknown,The Immaculata Saints,COLONEL BY,40,7,https://scorestream.com/game/immaculata-vs-colonel-by-2796713,https://scorestream.com/team/colonel-by-secondary-school-cougars-298304
Unknown,The Immaculata Saints,ST. PATRICK'S,12,21,https://scorestream.com/game/immaculata-vs-st-patricks-2792210,https://scorestream.com/team/st-patricks-high-school-st-pats-fighting-irish-306370
Unknown,The Immaculata Saints,ST. PATRICK'S,0,0,https://scorestream.com/game/immaculata-vs-st-patricks-2766172,https://scorestream.com/team/st-patricks-high-school-st-pats-fighting-irish-306370
Unknown,The Immaculata Saints,ST. PATRICK'S CATHOLIC,0,0,https://scorestream.com/game/immaculata-vs-st-patricks-catholic-2766143,https://scorestream.com/team/st-patricks-catholic-high-school-fighting-irish-279542
Unknown,The Ashbury College Colts,COLONEL BY,42,12,https://scorestream.com/game/colonel-by-vs-ashbury-college-2934975,https://scorestream.com/team/colonel-by-secondary-school-cougars-298304
