Date,Level,Host,Opponent,Score1,Score2,GameLink,OpponentLink,OpponentID
Unknown,Varsity,The Philemon Wright Falcons,Immaculata,13,29,https://scorestream.com/game/philemon-wright-vs-immaculata-1473328,https://scorestream.com/team/immaculata-high-school-saints-298303,298303
Unknown,Varsity,The Philemon Wright Falcons,Ashbury College,34,20,https://scorestream.com/game/ashbury-college-vs-philemon-wright-1473317,https://scorestream.com/team/ashbury-college-colts-279779,279779
Unknown,Varsity,The Philemon Wright Falcons,Colonel By,0,0,https://scorestream.com/game/colonel-by-vs-philemon-wright-1473308,https://scorestream.com/team/colonel-by-secondary-school-cougars-298304,298304
Unknown,Varsity,The Philemon Wright Falcons,St. Matthew,7,0,https://scorestream.com/game/philemon-wright-vs-st-matthew-1473304,https://scorestream.com/team/st-matthew-high-school-tigers-292135,292135
Unknown,Varsity,The Immaculata Saints,Colonel By,0,0,https://scorestream.com/game/immaculata-vs-colonel-by-2766152,https://scorestream.com/team/colonel-by-secondary-school-cougars-298304,298304
Unknown,Varsity,The Immaculata Saints,Colonel By,40,7,https://scorestream.com/game/immaculata-vs-colonel-by-2796713,https://scorestream.com/team/colonel-by-secondary-school-cougars-298304,298304
Unknown,Varsity,The Immaculata Saints,St. Patrick'S,12,21,https://scorestream.com/game/immaculata-vs-st-patricks-2792210,https://scorestream.com/team/st-patricks-high-school-st-pats-fighting-irish-306370,306370
Unknown,Varsity,The Immaculata Saints,St. Patrick'S,0,0,https://scorestream.com/game/immaculata-vs-st-patricks-2766172,https://scorestream.com/team/st-patricks-high-school-st-pats-fighting-irish-306370,306370
Unknown,Varsity,The Immaculata Saints,St. Patrick'S Catholic,0,0,https://scorestream.com/game/immaculata-vs-st-patricks-catholic-2766143,https://scorestream.com/team/st-patricks-catholic-high-school-fighting-irish-279542,279542
Unknown,Varsity,The Immaculata Saints,St. Matthew,15,0,https://scorestream.com/game/immaculata-vs-st-matthew-2766134,https://scorestream.com/team/st-matthew-high-school-tigers-292135,292135
Unknown,Varsity,The Immaculata Saints,Ashbury College,8,39,https://scorestream.com/game/ashbury-college-vs-immaculata-2744262,https://scorestream.com/team/ashbury-college-colts-279779,279779
Unknown,Varsity,The Immaculata Saints,St. Joseph,27,3,https://scorestream.com/game/immaculata-vs-st-joseph-2113729,https://scorestream.com/team/st-joseph-high-school-jaguars-297361,297361
Unknown,Varsity,The Immaculata Saints,Philemon Wright,21,12,https://scorestream.com/game/philemon-wright-vs-immaculata-2109633,https://scorestream.com/team/philemon-wright-high-school-falcons-291529,291529
Unknown,Varsity,The Immaculata Saints,Colonel By,8,24,https://scorestream.com/game/immaculata-vs-colonel-by-2074563,https://scorestream.com/team/colonel-by-secondary-school-cougars-298304,298304
Unknown,Varsity,The Immaculata Saints,St Peter Catholic,14,34,https://scorestream.com/game/st-peter-catholic-vs-immaculata-2074556,https://scorestream.com/team/st-peter-catholic-high-school-knights-279110,279110
Unknown,Varsity,The Ashbury College Colts,Chaminade College,24,21,https://scorestream.com/game/chaminade-college-vs-ashbury-college-2223441,https://scorestream.com/team/chaminade-college-school-gryphons-279074,279074
Unknown,Varsity,The Ashbury College Colts,St Peter Catholic,21,31,https://scorestream.com/game/st-peter-catholic-vs-ashbury-college-2149073,https://scorestream.com/team/st-peter-catholic-high-school-knights-279110,279110
Unknown,Varsity,The Ashbury College Colts,École Secondaire Catholique Franco-Cité,22,14,https://scorestream.com/game/cole-secondaire-catholique-franco-cit-vs-ashbury-college-2139963,https://scorestream.com/team/cole-secondaire-catholique-franco-cit-faucons-291350,291350
Unknown,Varsity,The Ashbury College Colts,Philemon Wright,30,7,https://scorestream.com/game/philemon-wright-vs-ashbury-college-2113727,https://scorestream.com/team/philemon-wright-high-school-falcons-291529,291529
Unknown,Varsity,The Ashbury College Colts,St. Matthew,13,22,https://scorestream.com/game/ashbury-college-vs-st-matthew-2113715,https://scorestream.com/team/st-matthew-high-school-tigers-292135,292135
Unknown,Varsity,The Ashbury College Colts,Collège Catholique Mer Bleue,21,10,https://scorestream.com/game/ashbury-college-vs-collge-catholique-mer-bleue-2074566,https://scorestream.com/team/collge-catholique-mer-bleue-loups-302592,302592
Unknown,Varsity,The Ashbury College Colts,Glebe Collegiate Institute,34,0,https://scorestream.com/game/glebe-collegiate-institute-vs-ashbury-college-2074555,https://scorestream.com/team/glebe-collegiate-institute-gryphons-298301,298301
Unknown,Varsity,The Ashbury College Colts,St. Joseph,11,8,https://scorestream.com/game/st-joseph-vs-ashbury-college-2090382,https://scorestream.com/team/st-joseph-high-school-jaguars-297361,297361
Unknown,Varsity,The Ashbury College Colts,Immaculata,7,36,https://scorestream.com/game/ashbury-college-vs-immaculata-2074548,https://scorestream.com/team/immaculata-high-school-saints-298303,298303
Unknown,Varsity,The Ashbury College Colts,Napanee District,6,3,https://scorestream.com/game/napanee-district-vs-ashbury-college-1968340,https://scorestream.com/team/napanee-district-secondary-school-hawks-287381,287381
Unknown,Varsity,The Ashbury College Colts,Holy Trinity Catholic,33,5,https://scorestream.com/game/holy-trinity-catholic-vs-ashbury-college-1967715,https://scorestream.com/team/holy-trinity-catholic-high-school-titans-279549,279549
Unknown,Varsity,The Ashbury College Colts,St. Mark Catholic,14,40,https://scorestream.com/game/st-mark-catholic-vs-ashbury-college-1473338,https://scorestream.com/team/st-mark-catholic-high-school-lions-298300,298300
Unknown,Varsity,The Colonel By Cougars,St. Matthew,23,14,https://scorestream.com/game/colonel-by-vs-st-matthew-2149071,https://scorestream.com/team/st-matthew-high-school-tigers-292135,292135
Unknown,Varsity,The Colonel By Cougars,St. Joseph,14,29,https://scorestream.com/game/colonel-by-vs-st-joseph-2139965,https://scorestream.com/team/st-joseph-high-school-jaguars-297361,297361
Unknown,Varsity,The Colonel By Cougars,St. Mark Catholic,22,0,https://scorestream.com/game/colonel-by-vs-st-mark-catholic-2113731,https://scorestream.com/team/st-mark-catholic-high-school-lions-298300,298300
Unknown,Varsity,The Colonel By Cougars,St. Joseph,25,19,https://scorestream.com/game/st-joseph-vs-colonel-by-2113711,https://scorestream.com/team/st-joseph-high-school-jaguars-297361,297361
Unknown,Varsity,The Colonel By Cougars,École Secondaire Catholique Franco-Cité,18,27,https://scorestream.com/game/cole-secondaire-catholique-franco-cit-vs-colonel-by-2074561,https://scorestream.com/team/cole-secondaire-catholique-franco-cit-faucons-291350,291350
Unknown,Varsity,The Colonel By Cougars,Sir Wilfrid Laurier,6,7,https://scorestream.com/game/colonel-by-vs-sir-wilfrid-laurier-2074552,https://scorestream.com/team/sir-wilfrid-laurier-rams-298139,298139
Unknown,Varsity,The Colonel By Cougars,Philemon Wright,12,32,https://scorestream.com/game/colonel-by-vs-philemon-wright-2084372,https://scorestream.com/team/philemon-wright-high-school-falcons-291529,291529
Unknown,Varsity,The Colonel By Cougars,Collège Catholique Mer Bleue,32,12,https://scorestream.com/game/collge-catholique-mer-bleue-vs-colonel-by-2074544,https://scorestream.com/team/collge-catholique-mer-bleue-loups-302592,302592
Unknown,Varsity,The Colonel By Cougars,École Secondaire Catholique Franco-Cité,17,14,https://scorestream.com/game/cole-secondaire-catholique-franco-cit-vs-colonel-by-1540078,https://scorestream.com/team/cole-secondaire-catholique-franco-cit-faucons-291350,291350
Unknown,Varsity,The Colonel By Cougars,Glebe Collegiate Institute,40,18,https://scorestream.com/game/glebe-collegiate-institute-vs-colonel-by-1524957,https://scorestream.com/team/glebe-collegiate-institute-gryphons-298301,298301
Unknown,Varsity,The Colonel By Cougars,Glebe Collegiate Institute,13,6,https://scorestream.com/game/glebe-collegiate-institute-vs-colonel-by-1473330,https://scorestream.com/team/glebe-collegiate-institute-gryphons-298301,298301
Unknown,Varsity,The St. Matthew Tigers,École Secondaire Catholique Franco-Cité,0,6,https://scorestream.com/game/cole-secondaire-catholique-franco-cit-vs-st-matthew-2113732,https://scorestream.com/team/cole-secondaire-catholique-franco-cit-faucons-291350,291350
Unknown,Varsity,The St. Matthew Tigers,St Peter Catholic,4,13,https://scorestream.com/game/st-peter-catholic-vs-st-matthew-2074570,https://scorestream.com/team/st-peter-catholic-high-school-knights-279110,279110
Unknown,Varsity,The St. Matthew Tigers,St. Joseph,25,7,https://scorestream.com/game/st-joseph-vs-st-matthew-2104953,https://scorestream.com/team/st-joseph-high-school-jaguars-297361,297361
Unknown,Varsity,The St. Matthew Tigers,Philemon Wright,0,0,https://scorestream.com/game/philemon-wright-vs-st-matthew-2074551,https://scorestream.com/team/philemon-wright-high-school-falcons-291529,291529
Unknown,Varsity,The St. Matthew Tigers,Glebe Collegiate Institute,0,35,https://scorestream.com/game/st-matthew-vs-glebe-collegiate-institute-2084374,https://scorestream.com/team/glebe-collegiate-institute-gryphons-298301,298301
Unknown,Varsity,The St. Matthew Tigers,Stoneman Douglas,6,30,https://scorestream.com/game/stoneman-douglas-vs-st-matthew-2067655,https://scorestream.com/team/marjory-stoneman-douglas-eagles-4006,4006
Unknown,Varsity,The St. Matthew Tigers,Huron Heights,6,40,https://scorestream.com/game/huron-heights-vs-st-matthew-1540194,https://scorestream.com/team/huron-heights-secondary-warriors-297380,297380
Unknown,Varsity,The St. Matthew Tigers,St Peter Catholic,7,18,https://scorestream.com/game/st-peter-catholic-vs-st-matthew-1473333,https://scorestream.com/team/st-peter-catholic-high-school-knights-279110,279110
Unknown,Varsity,The St. Patrick'S St Pat'S Fighting Irish,St. Matthew,0,58,https://scorestream.com/game/st-matthew-vs-st-patricks-2744261,https://scorestream.com/team/st-matthew-high-school-tigers-292135,292135
Unknown,Varsity,The St. Patrick'S Catholic Fighting Irish,Ursuline,23,13,https://scorestream.com/game/ursuline-vs-st-patricks-catholic-2068655,https://scorestream.com/team/ursuline-college-chatham-lancers-279568,279568
Unknown,Varsity,The St. Patrick'S Catholic Fighting Irish,Great Lakes,14,21,https://scorestream.com/game/st-patricks-catholic-vs-great-lakes-2109631,https://scorestream.com/team/great-lakes-secondary-school-wolf-pack-297700,297700
Unknown,Varsity,The St. Patrick'S Catholic Fighting Irish,Northern,0,35,https://scorestream.com/game/northern-vs-st-patricks-catholic-2068650,https://scorestream.com/team/northern-collegiate-institute-and-vocational-school-vikings-283308,283308
Unknown,Varsity,The St. Patrick'S Catholic Fighting Irish,Chatham-Kent,7,10,https://scorestream.com/game/st-patricks-catholic-vs-chatham-kent-2068648,https://scorestream.com/team/chatham-kent-secondary-school-golden-hawks-279562,279562
Unknown,Varsity,The St. Patrick'S Catholic Fighting Irish,Wallaceburg,10,7,https://scorestream.com/game/st-patricks-catholic-vs-wallaceburg-2068643,https://scorestream.com/team/wallaceburg-secondary-school-tartans-286907,286907
Unknown,Varsity,The St. Patrick'S Catholic Fighting Irish,Holy Names Catholic,7,41,https://scorestream.com/game/holy-names-catholic-vs-st-patricks-catholic-1540185,https://scorestream.com/team/holy-names-catholic-high-school-knights-279551,279551
Unknown,Varsity,The St. Patrick'S Catholic Fighting Irish,Northern,8,29,https://scorestream.com/game/st-patricks-catholic-vs-northern-1524873,https://scorestream.com/team/northern-collegiate-institute-and-vocational-school-vikings-283308,283308
Unknown,Varsity,The St. Patrick'S Catholic Fighting Irish,Chatham-Kent,0,20,https://scorestream.com/game/st-patricks-catholic-vs-chatham-kent-1518584,https://scorestream.com/team/chatham-kent-secondary-school-golden-hawks-279562,279562
Unknown,Varsity,The St. Patrick'S Catholic Fighting Irish,Chatham-Kent,0,0,https://scorestream.com/game/st-patricks-catholic-vs-chatham-kent-1446868,https://scorestream.com/team/chatham-kent-secondary-school-golden-hawks-279562,279562
Unknown,Varsity,The St. Patrick'S Catholic Fighting Irish,Northern,21,10,https://scorestream.com/game/northern-vs-st-patricks-catholic-1446865,https://scorestream.com/team/northern-collegiate-institute-and-vocational-school-vikings-283308,283308
Unknown,Varsity,The St. Patrick'S Catholic Fighting Irish,Great Lakes,37,15,https://scorestream.com/game/great-lakes-vs-st-patricks-catholic-1446864,https://scorestream.com/team/great-lakes-secondary-school-wolf-pack-297700,297700
Unknown,Varsity,The St. Patrick'S Catholic Fighting Irish,Chatham-Kent,2,23,https://scorestream.com/game/st-patricks-catholic-vs-chatham-kent-1446859,https://scorestream.com/team/chatham-kent-secondary-school-golden-hawks-279562,279562
Unknown,Varsity,The St. Joseph Jaguars,Holy Names Catholic,59,36,https://scorestream.com/game/st-joseph-vs-holy-names-catholic-5857151,https://scorestream.com/team/holy-names-catholic-high-school-knights-279551,279551
Unknown,Varsity,The St. Joseph Jaguars,Cardinal Carter,28,21,https://scorestream.com/game/cardinal-carter-vs-st-joseph-5856863,https://scorestream.com/team/cardinal-carter-cougars-279545,279545
Unknown,Varsity,The St. Joseph Jaguars,Father Michael Goetz,78,49,https://scorestream.com/game/st-joseph-vs-father-michael-goetz-2962287,https://scorestream.com/team/father-michael-goetz-secondary-school-gators-291211,291211
