GameID,GameDate,Season,Week,Level,HomeTeam,AwayTeam,HomeScore,AwayScore,ScoreStreamLink,OpponentTeamID,Source,ScrapedDate
20171011_NapaneeDi_vs_Ernestown_Varsity,10/11/2017,2017,41,Varsity,Napanee District Hawks (ON),Ernestown (ON),1,21,https://scorestream.com/game/napanee-district-vs-ernestown-1490623,298007,ScoreStream,12/9/2025 5:58
20180927_SydenhamG_vs_NapaneeDi_Varsity,9/27/2018,2018,39,Varsity,Sydenham Golden Eagles (ON),Napanee District (ON),1,34,https://scorestream.com/game/sydenham-vs-napanee-district-2068947,287381,ScoreStream,12/9/2025 5:58
20250925_CardinalC_vs_VincentMa_Varsity,9/25/2025,2025,39,Varsity,Cardinal Carter Cougars (ON),Vincent Massey (ON),2,1,https://scorestream.com/game/vincent-massey-vs-cardinal-carter-5856857,290333,ScoreStream,12/9/2025 5:58
20180921_??coleSeco_vs_St.Joseph_Varsity,9/21/2018,2018,38,Varsity,??cole Secondaire Catholique Algonquin Barons (ON),St. Joseph-Scollard Hall Catholic (ON),2,17,https://scorestream.com/game/st-joseph-scollard-hall-catholic-vs-cole-secondaire-catholique-algonquin-2071452,297903,ScoreStream,12/9/2025 5:58
20181019_Regiopolis_vs_LaSalle(_Varsity,10/19/2018,2018,42,Varsity,Regiopolis-Notre Dame Panthers (ON),La Salle (ON),2,21,https://scorestream.com/game/la-salle-vs-regiopolis-notre-dame-2068968,283157,ScoreStream,12/9/2025 5:58
20191003_TecumsehV_vs_Riverside_Varsity,10/3/2019,2019,40,Varsity,Tecumseh Vista Vortex (ON),Riverside (ON),2,21,https://scorestream.com/game/riverside-vs-tecumseh-vista-2792101,298006,ScoreStream,12/9/2025 5:58
20171114_Immaculata_vs_??coleSeco_Varsity,11/14/2017,2017,46,Varsity,Immaculata Saints (ON),??cole Secondaire Catholique Franco-Cit?? (ON),3,23,https://scorestream.com/game/cole-secondaire-catholique-franco-cit-vs-immaculata-1524958,291350,ScoreStream,12/9/2025 5:58
20171103_FenelonFa_vs_Crestwood_Varsity,11/3/2017,2017,44,Varsity,Fenelon Falls Falcons (ON),Crestwood (ON),3,23,https://scorestream.com/game/crestwood-vs-fenelon-falls-1513794,279801,ScoreStream,12/9/2025 5:58
20250823_MoellerFi_vs_Springboro_Varsity,8/23/2025,2025,34,Varsity,Moeller Fighting Crusaders (ON),Springboro (OH),4,2,https://scorestream.com/game/moeller-vs-springboro-5834778,13449,ScoreStream,12/9/2025 5:58
20241126_TecumsehV_vs_E.J.Lajeu_Varsity,11/26/2024,2024,48,Varsity,Tecumseh Vista Vortex (ON),E.J. Lajeunesse Catholic (ON),4,4,https://scorestream.com/game/tecumseh-vista-vs-ej-lajeunesse-catholic-5515823,279561,ScoreStream,12/9/2025 5:58
20181018_St.Matthe_vs_StPeterC_Varsity,10/18/2018,2018,42,Varsity,St. Matthew Tigers (ON),St Peter Catholic (ON),4,13,https://scorestream.com/game/st-peter-catholic-vs-st-matthew-2074570,279110,ScoreStream,12/9/2025 5:58
20161209_HolyCross_vs_CatholicC_Varsity,12/9/2016,2016,49,Varsity,Holy Cross Hurricanes (ON),Catholic Central (ON),5,3,https://scorestream.com/game/holy-cross-vs-catholic-central-1051540,283212,ScoreStream,12/9/2025 5:58
20181019_ArnpriorD_vs_AlmonteAn_Varsity,10/19/2018,2018,42,Varsity,Arnprior District Rapids (ON),Almonte And District (ON),5,26,https://scorestream.com/game/almonte-and-district-vs-arnprior-district-2071369,291263,ScoreStream,12/9/2025 5:58
20180927_ColonelBy_vs_SirWilfri_Varsity,9/27/2018,2018,39,Varsity,Colonel By Cougars (ON),Sir Wilfrid Laurier (ON),6,7,https://scorestream.com/game/colonel-by-vs-sir-wilfrid-laurier-2074552,298139,ScoreStream,12/9/2025 5:58
20171020_AdamScott_vs_Haliburton_Varsity,10/20/2017,2017,42,Varsity,Adam Scott Collegiate Lions (ON),Haliburton Highlands (ON),6,14,https://scorestream.com/game/adam-scott-collegiate-vs-haliburton-highlands-1498970,279803,ScoreStream,12/9/2025 5:58
20170927_AdamScott_vs_HolyCross_Varsity,9/27/2017,2017,39,Varsity,Adam Scott Collegiate Lions (ON),Holy Cross (ON),6,23,https://scorestream.com/game/adam-scott-collegiate-vs-holy-cross-1464995,279804,ScoreStream,12/9/2025 5:58
20251023_StonemanD_vs_CoralSpri_Varsity,10/23/2025,2025,43,Varsity,Stoneman Douglas Eagles (ON),Coral Springs Charter (FL),6,28,https://scorestream.com/game/stoneman-douglas-vs-coral-springs-charter-5860400,3738,ScoreStream,12/9/2025 5:58
20180901_St.Matthe_vs_StonemanD_Varsity,9/1/2018,2018,35,Varsity,St. Matthew Tigers (ON),Stoneman Douglas (FL),6,30,https://scorestream.com/game/stoneman-douglas-vs-st-matthew-2067655,4006,ScoreStream,12/9/2025 5:58
20171114_StPeterC_vs_St.Joseph_Varsity,11/14/2017,2017,46,Varsity,St Peter Catholic Knights (ON),St. Joseph (ON),6,33,https://scorestream.com/game/st-peter-catholic-vs-st-joseph-1524962,297361,ScoreStream,12/9/2025 5:58
20251030_StonemanD_vs_CoconutCr_Varsity,10/30/2025,2025,44,Varsity,Stoneman Douglas Eagles (ON),Coconut Creek (FL),6,34,https://scorestream.com/game/coconut-creek-vs-stoneman-douglas-5860617,3748,ScoreStream,12/9/2025 5:58
20181012_TecumsehV_vs_E.J.Lajeu_Varsity,10/12/2018,2018,41,Varsity,Tecumseh Vista Vortex (ON),E.J. Lajeunesse Catholic (ON),6,35,https://scorestream.com/game/tecumseh-vista-vs-ej-lajeunesse-catholic-2068604,279561,ScoreStream,12/9/2025 5:58
20170927_Ernestown_vs_LaSalle(_Varsity,9/27/2017,2017,39,Varsity,Ernestown Eagles (ON),La Salle (ON),6,36,https://scorestream.com/game/la-salle-vs-ernestown-1464872,283157,ScoreStream,12/9/2025 5:58
20171129_St.Matthe_vs_HuronHeig_Varsity,11/29/2017,2017,48,Varsity,St. Matthew Tigers (ON),Huron Heights (ON),6,40,https://scorestream.com/game/huron-heights-vs-st-matthew-1540194,297380,ScoreStream,12/9/2025 5:58
20181108_HolyNames_vs_Villanova_Varsity,11/8/2018,2018,45,Varsity,Holy Names Catholic Knights (ON),Villanova (ON),6,45,https://scorestream.com/game/holy-names-catholic-vs-villanova-2139849,279550,ScoreStream,12/9/2025 5:58
20161123_HolyCross_vs_St.Thomas_Varsity,11/23/2016,2016,47,Varsity,Holy Cross Hurricanes (ON),St. Thomas Aquinas Catholic (ON),7,2,https://scorestream.com/game/holy-cross-vs-st-thomas-aquinas-catholic-959009,279760,ScoreStream,12/9/2025 5:58
20181115_OakvilleT_vs_T.A.Blake_Varsity,11/15/2018,2018,46,Varsity,Oakville Trafalgar Red Devils (ON),T.A. Blakelock (ON),7,13,https://scorestream.com/game/oakville-trafalgar-vs-ta-blakelock-2149056,279761,ScoreStream,12/9/2025 5:58
