TeamName,State,Level,FullName,Source,ScrapedDate
St. Mary Crusaders,ON,Varsity,St. Mary Crusaders (ON),ScoreStream,2025-12-09
Gananoque,ON,Varsity,Gananoque (ON),ScoreStream,2025-12-09
Smiths Falls District Collegiate Institute,ON,Varsity,Smiths Falls District Collegiate Institute (ON),ScoreStream,2025-12-09
St. Michael Catholic,ON,Varsity,St. Michael Catholic (ON),ScoreStream,2025-12-09
Athens District,ON,Varsity,Athens District (ON),ScoreStream,2025-12-09
South Grenville District,ON,Varsity,South Grenville District (ON),ScoreStream,2025-12-09
Thousand Islands,ON,Varsity,Thousand Islands (ON),ScoreStream,2025-12-09
Holy Trinity Catholic Titans,ON,Varsity,Holy Trinity Catholic Titans (ON),ScoreStream,2025-12-09
Ud Jesuit,MI,Varsity,Ud Jesuit (MI),ScoreStream,2025-12-09
Father Michael Goetz Gators,ON,Varsity,Father Michael Goetz Gators (ON),ScoreStream,2025-12-09
Clarkson,ON,Varsity,Clarkson (ON),ScoreStream,2025-12-09
Nottawasaga Pines Timber Wolves,ON,Varsity,Nottawasaga Pines Timber Wolves (ON),ScoreStream,2025-12-09
Collingwood Collegiate Institute,ON,Varsity,Collingwood Collegiate Institute (ON),ScoreStream,2025-12-09
Holy Cross Hurricanes,ON,Varsity,Holy Cross Hurricanes (ON),ScoreStream,2025-12-09
Mother Teresa Catholic,ON,Varsity,Mother Teresa Catholic (ON),ScoreStream,2025-12-09
Almonte And District Thuderbolts,ON,Varsity,Almonte And District Thuderbolts (ON),ScoreStream,2025-12-09
Perth And District Collegiate Institute,ON,Varsity,Perth And District Collegiate Institute (ON),ScoreStream,2025-12-09
St. Theresa Catholic Titans,ON,Varsity,St. Theresa Catholic Titans (ON),ScoreStream,2025-12-09
St. Joseph'S,ON,Varsity,St. Joseph'S (ON),ScoreStream,2025-12-09
Nantyr Shores,ON,Varsity,Nantyr Shores (ON),ScoreStream,2025-12-09
St. Ignatius Of Loyola,ON,Varsity,St. Ignatius Of Loyola (ON),ScoreStream,2025-12-09
Arnprior District,ON,Varsity,Arnprior District (ON),ScoreStream,2025-12-09
Mckinnon Park Blue Devils,ON,Varsity,Mckinnon Park Blue Devils (ON),ScoreStream,2025-12-09
Sir Allan Macnab,ON,Varsity,Sir Allan Macnab (ON),ScoreStream,2025-12-09
St. Thomas Aquinas Catholic,ON,Varsity,St. Thomas Aquinas Catholic (ON),ScoreStream,2025-12-09
