State_Code,Season,Teams,Total_Games,Actual_Avg_Games,Expected_Games_Per_Team,Coverage_Pct,Priority,Games_Gap
(HI),1967,8,9,1.13,4.0,28.25,HIGH,2.87
(AK),1974,5,6,1.2,4.0,30.0,HIGH,2.8
(BC),1960,3,4,1.33,4.0,33.25,HIGH,2.67
(ON),1968,1,1,1.0,3.0,33.33,HIGH,2.0
(AK),1972,5,7,1.4,4.0,35.0,HIGH,2.6
(BC),1973,8,12,1.5,4.0,37.5,HIGH,2.5
(MA),1971,65,126,1.94,5.0,38.8,HIGH,3.06
(HI),1966,13,21,1.62,4.0,40.5,HIGH,2.38
(RI),1961,17,36,2.12,5.0,42.4,HIGH,2.88
(RI),1962,22,47,2.14,5.0,42.8,HIGH,2.86
(BC),1971,4,7,1.75,4.0,43.75,HIGH,2.25
(NH),1965,17,30,1.76,4.0,44.0,HIGH,2.24
(SD),1972,28,50,1.79,4.0,44.75,HIGH,2.21
(HI),1964,10,18,1.8,4.0,45.0,HIGH,2.2
(HI),1972,6,11,1.83,4.0,45.75,HIGH,2.17
(MA),1960,52,119,2.29,5.0,45.8,HIGH,2.71
(RI),1960,17,39,2.29,5.0,45.8,HIGH,2.71
(MD),1969,49,113,2.31,5.0,46.2,HIGH,2.69
(NY),1964,129,243,1.88,4.0,47.0,HIGH,2.12
(NY),1968,102,193,1.89,4.0,47.25,HIGH,2.11
(NV),1972,18,34,1.89,4.0,47.25,HIGH,2.11
(AR),1962,112,265,2.37,5.0,47.4,HIGH,2.63
(NH),1964,23,44,1.91,4.0,47.75,HIGH,2.09
(MT),1970,13,25,1.92,4.0,48.0,HIGH,2.08
(MA),1963,56,135,2.41,5.0,48.2,HIGH,2.59
(DC),1972,16,31,1.94,4.0,48.5,HIGH,2.06
(OK),1970,110,267,2.43,5.0,48.6,HIGH,2.57
(MD),1962,40,98,2.45,5.0,49.0,HIGH,2.55
(NY),1973,114,224,1.96,4.0,49.0,HIGH,2.04
(MD),1967,50,123,2.46,5.0,49.2,HIGH,2.54
(OK),1967,98,241,2.46,5.0,49.2,HIGH,2.54
(MD),1966,45,111,2.47,5.0,49.4,HIGH,2.53
(MA),1973,165,407,2.47,5.0,49.4,HIGH,2.53
(NE),1964,56,111,1.98,4.0,49.5,HIGH,2.02
(MD),1970,71,177,2.49,5.0,49.8,HIGH,2.51
(MD),1974,43,107,2.49,5.0,49.8,HIGH,2.51
(SD),1960,15,30,2.0,4.0,50.0,MEDIUM,2.0
(HI),1963,10,20,2.0,4.0,50.0,MEDIUM,2.0
(BC),1966,3,6,2.0,4.0,50.0,MEDIUM,2.0
(OK),1974,115,289,2.51,5.0,50.2,MEDIUM,2.49
(NY),1960,83,168,2.02,4.0,50.5,MEDIUM,1.98
(MA),1965,47,119,2.53,5.0,50.6,MEDIUM,2.47
(MD),1971,68,172,2.53,5.0,50.6,MEDIUM,2.47
(MD),1973,51,129,2.53,5.0,50.6,MEDIUM,2.47
(NY),1967,88,179,2.03,4.0,50.75,MEDIUM,1.97
(CT),1963,45,92,2.04,4.0,51.0,MEDIUM,1.96
(NH),1966,21,43,2.05,4.0,51.25,MEDIUM,1.95
(NH),1960,14,29,2.07,4.0,51.75,MEDIUM,1.93
(MD),1964,51,132,2.59,5.0,51.8,MEDIUM,2.41
(AR),1974,155,403,2.6,5.0,52.0,MEDIUM,2.4
(SD),1974,34,71,2.09,4.0,52.25,MEDIUM,1.91
(MD),1965,42,110,2.62,5.0,52.4,MEDIUM,2.38
(NY),1972,84,176,2.1,4.0,52.5,MEDIUM,1.9
(MA),1969,59,155,2.63,5.0,52.6,MEDIUM,2.37
(MT),1960,18,38,2.11,4.0,52.75,MEDIUM,1.89
(VT),1969,18,38,2.11,4.0,52.75,MEDIUM,1.89
(SD),1967,25,53,2.12,4.0,53.0,MEDIUM,1.88
(OK),1962,103,274,2.66,5.0,53.2,MEDIUM,2.34
(DC),1960,8,17,2.13,4.0,53.25,MEDIUM,1.87
(NY),1974,137,292,2.13,4.0,53.25,MEDIUM,1.87
(LA),1970,105,281,2.68,5.0,53.6,MEDIUM,2.32
(NY),1971,102,219,2.15,4.0,53.75,MEDIUM,1.85
(IA),1964,70,151,2.16,4.0,54.0,MEDIUM,1.84
