Team,State,Combined_2025,National_Rank,State_Rank,Previous_Best,Improvement,Games_Played,Total_Seasons,Recognition_Type,Is_State_Top,Is_Program_Record,Website,Recipient_Name,Recipient_Email,Subject_Line,Email_Body
Southlake Carroll (TX),TX,71.89,3,1,74.21,-2.33,15,68,Top-Rated in State,1,0,,,,,
Bixby (OK),OK,69.15,5,1,65.52,3.63,13,86,Double Recognition,1,1,,,,,
Buford (GA),GA,69.14,6,1,70.16,-1.02,15,82,Top-Rated in State,1,0,,,,,
Thomasville Thomas County Central (GA),GA,68.42,8,2,57.89,10.53,15,66,Program Record,0,1,,,,,
Fairburn Creekside (GA),GA,68.21,10,3,56.03,12.18,15,35,Program Record,0,1,,,,,
Carrollton (GA),GA,68.2,11,4,65.74,2.47,15,95,Program Record,0,1,,,,,
Aledo (TX),TX,67.74,13,5,67.47,0.28,15,79,Program Record,0,1,,,,,
Alabaster Thompson (AL),AL,65.58,15,1,70.28,-4.7,14,86,Top-Rated in State,1,0,,,,,
Chandler Hamilton (AZ),AZ,65.38,16,1,65.42,-0.04,12,27,Top-Rated in State,1,0,,,,,
Las Vegas Bishop Gorman (NV),NV,64.03,19,1,76.89,-12.86,12,59,Top-Rated in State,1,0,,,,,
Waxahachie (TX),TX,63.61,22,8,52.21,11.4,13,118,Program Record,0,1,,,,,
New Orleans Karr (LA),LA,62.97,24,1,56.02,6.95,11,33,Double Recognition,1,1,,,,,
Brownsburg (IN),IN,62.68,25,1,55.73,6.94,14,65,Double Recognition,1,1,,,,,
Rock Hill Northwestern (SC),SC,62.65,26,1,61.35,1.29,14,54,Double Recognition,1,1,,,,,
Rancho Santa Margarita (CA),CA,62.45,28,3,60.89,1.56,14,38,Program Record,0,1,,,,,
Prosper (TX),TX,62.29,29,9,57.37,4.92,13,75,Program Record,0,1,,,,,
Greenwood Village Cherry Creek (CO),CO,60.28,37,1,52.48,7.79,14,66,Double Recognition,1,1,,,,,
Blue Springs South (MO),MO,60.04,39,1,51.05,8.99,10,33,Double Recognition,1,1,,,,,
Princeton Hun School (NJ),NJ,59.7,42,1,47.13,12.57,7,95,Double Recognition,1,1,,,,,
Houston King (TX),TX,59.58,46,13,54.64,4.94,16,71,Program Record,0,1,,,,,
Jacksonville Raines (FL),FL,59.53,47,2,50.87,8.66,13,57,Program Record,0,1,,,,,
Hyattsville DeMatha Catholic (MD),MD,59.04,48,3,57.32,1.72,11,75,Program Record,0,1,,,,,
Columbus Bishop Watterson (OH),OH,58.69,49,1,53.9,4.79,14,69,Double Recognition,1,1,,,,,
Charlotte Providence Day (NC),NC,58.42,51,1,44.79,13.62,13,44,Double Recognition,1,1,,,,,
Pittsburgh Central Catholic (PA),PA,57.48,57,2,56.93,0.55,15,97,Program Record,0,1,,,,,
Valdosta (GA),GA,57.4,60,9,54.96,2.44,14,111,Program Record,0,1,,,,,
Kaysville Davis (UT),UT,57.11,61,5,47.34,9.77,12,90,Program Record,0,1,,,,,
Stephenville (TX),TX,56.78,67,17,52.53,4.24,16,105,Program Record,0,1,,,,,
Westfield (IN),IN,56.53,68,3,55.89,0.64,14,73,Program Record,0,1,,,,,
Sarasota Cardinal Mooney (FL),FL,56.51,70,5,42.53,13.99,15,55,Program Record,0,1,,,,,
Avon (OH),OH,55.96,75,3,54.28,1.68,15,61,Program Record,0,1,,,,,
Detroit Catholic Central (MI),MI,55.5,79,1,54.53,0.96,16,86,Double Recognition,1,1,,,,,
Puyallup (WA),WA,55.24,82,1,56.86,-1.63,13,101,Top-Rated in State,1,0,,,,,
Louisville Trinity (KY),KY,54.81,85,1,72.52,-17.71,14,70,Top-Rated in State,1,0,,,,,
Chattanooga Baylor (TN),TN,54.06,90,1,69.09,-15.02,11,120,Top-Rated in State,1,0,,,,,
New Palestine (IN),IN,53.97,92,4,51.28,2.69,14,56,Program Record,0,1,,,,,
South Florence (SC),SC,53.82,94,4,52.49,1.33,15,50,Program Record,0,1,,,,,
Dickinson (TX),TX,53.73,95,21,52.26,1.47,14,87,Program Record,0,1,,,,,
West Charlotte (NC),NC,53.69,96,4,51.95,1.74,13,68,Program Record,0,1,,,,,
Cuyahoga Falls Walsh Jesuit (OH),OH,53.65,97,6,48.64,5.01,13,58,Program Record,0,1,,,,,
Columbia Irmo (SC),SC,53.3,101,5,50.68,2.62,14,66,Program Record,0,1,,,,,
Vestavia Hills (AL),AL,53.23,103,4,51.57,1.66,11,54,Program Record,0,1,,,,,
Alvarado (TX),TX,52.94,110,25,50.13,2.81,13,100,Program Record,0,1,,,,,
Rigby (ID),ID,52.79,112,1,55.15,-2.36,12,58,Top-Rated in State,1,0,,,,,
West Linn (OR),OR,52.74,113,1,56.89,-4.15,12,104,Top-Rated in State,1,0,,,,,
Andale (KS),KS,52.5,115,1,48.18,4.32,13,82,Double Recognition,1,1,,,,,
Platte City Platte County (MO),MO,52.26,117,3,42.57,9.69,15,56,Program Record,0,1,,,,,
Lake Oswego (OR),OR,52.24,118,2,47.64,4.6,13,74,Program Record,0,1,,,,,
Alexandria (MN),MN,52.12,121,1,47.26,4.86,11,79,Double Recognition,1,1,,,,,
Gordon (TX),TX,51.68,126,30,51.42,0.26,14,78,Program Record,0,1,,,,,
Norfolk Maury (VA),VA,51.56,128,1,57.94,-6.38,14,119,Top-Rated in State,1,0,,,,,
Bryant (AR),AR,51.24,133,1,63.72,-12.48,13,65,Top-Rated in State,1,0,,,,,
Sumner (WA),WA,51.21,134,3,41.95,9.26,14,91,Program Record,0,1,,,,,
Philadelphia Roman Catholic (PA),PA,51.21,135,4,43.06,8.15,15,129,Program Record,0,1,,,,,
Warner Robins Houston County (GA),GA,51.18,136,17,48.62,2.56,12,34,Program Record,0,1,,,,,
Douglasville Douglas County (GA),GA,51.13,137,18,50.71,0.42,13,92,Program Record,0,1,,,,,
Jersey City St. Peters Prep (NJ),NJ,51.12,138,4,36.43,14.7,8,28,Program Record,0,1,,,,,
Chicago Brother Rice (IL),IL,51.02,139,3,50.82,0.2,14,67,Program Record,0,1,,,,,
Atco Winslow Township (NJ),NJ,50.84,144,5,48.99,1.85,14,66,Program Record,0,1,,,,,
McMurray Peters Township (PA),PA,50.42,150,6,49.93,0.5,14,69,Program Record,0,1,,,,,
