National_Rank,Team,State,Combined_2025,Margin,Win_Loss,Offense,Defense,Games_Played,Total_Seasons,Previous_Best,Improvement,StateRank,Is_State_Top,Is_Program_Record,Recognition_Type,TeamPageUrl,HasTeamPage,Website_Status,Athletic_Director,AD_Email,Head_Coach,Coach_Email,Athletic_Dept_Email,Main_Phone,Contact_Notes,Email_Sent_Date,Email_Status,Response_Notes
5,Bixby (OK),(OK),69.151,84.463,5.186,37.469,-1.812,13,86,65.517,3.634,1,1,1,Double Recognition,,True,,,,,,,,,,,
24,New Orleans Karr (LA),(LA),62.97,75.024,6.046,31.794,-2.244,11,33,56.0231,6.9469,1,1,1,Double Recognition,,True,,,,,,,,,,,
25,Brownsburg (IN),(IN),62.676,74.542,6.16,28.789,1.314,14,65,55.7317,6.9443,1,1,1,Double Recognition,,False,,,,,,,,,,,
26,Rock Hill Northwestern (SC),(SC),62.646,74.78,6.465,31.799,-0.289,14,54,61.3522,1.2938,1,1,1,Double Recognition,,False,,,,,,,,,,,
37,Greenwood Village Cherry Creek (CO),(CO),60.278,72.605,5.658,31.697,-6.716,14,66,52.4846,7.7934,1,1,1,Double Recognition,,False,,,,,,,,,,,
39,Blue Springs South (MO),(MO),60.041,72.11,5.283,29.465,-3.769,10,33,51.0524,8.9886,1,1,1,Double Recognition,,False,,,,,,,,,,,
42,Princeton Hun School (NJ),(NJ),59.701,73.123,5.29,32.785,-7.063,7,95,47.1317,12.5693,1,1,1,Double Recognition,,False,,,,,,,,,,,
49,Columbus Bishop Watterson (OH),(OH),58.689,70.894,4.922,28.167,-1.114,14,69,53.8996,4.7894,1,1,1,Double Recognition,,False,,,,,,,,,,,
51,Charlotte Providence Day (NC),(NC),58.416,69.722,5.444,27.181,2.56,13,44,44.7946,13.6214,1,1,1,Double Recognition,,False,,,,,,,,,,,
79,Detroit Catholic Central (MI),(MI),55.497,66.138,5.313,25.891,-2.289,16,86,54.5324,0.9646,1,1,1,Double Recognition,,False,,,,,,,,,,,
115,Andale (KS),(KS),52.499,64.341,3.52,28.701,4.432,13,82,48.1767,4.3223,1,1,1,Double Recognition,,False,,,,,,,,,,,
121,Alexandria (MN),(MN),52.118,62.487,3.837,19.696,5.265,11,79,47.2623,4.8557,1,1,1,Double Recognition,,False,,,,,,,,,,,
228,Gulfport (MS),(MS),47.149,56.94,4.07,26.891,3.997,14,108,43.0205,4.1285,1,1,1,Double Recognition,,False,,,,,,,,,,,
244,Gilman (WI),(WI),46.633,57.192,3.288,29.409,-5.645,12,60,25.2499,21.3831,1,1,1,Double Recognition,,False,,,,,,,,,,,
245,Woodbine (IA),(IA),46.591,58.084,2.671,34.604,-4.741,12,58,35.6813,10.9097,1,1,1,Double Recognition,,False,,,,,,,,,,,
353,Marion Tabor Academy (MA),(MA),43.438,53.799,4.106,29.379,-2.043,9,62,37.356,6.082,1,1,1,Double Recognition,,False,,,,,,,,,,,
391,Wilmington Salesianum (DE),(DE),42.417,51.759,3.074,17.173,-0.781,13,98,40.0551,2.3619,1,1,1,Double Recognition,,False,,,,,,,,,,,
1321,Abbotsford Mouat (BC),(BC),29.426,34.08,2.433,10.873,12.682,14,30,7.2873,22.1387,1,1,1,Double Recognition,,False,,,,,,,,,,,
