National_Rank,Team,State,Combined_2025,Margin,Win_Loss,Offense,Defense,Games_Played,Total_Seasons,Previous_Best,Improvement,StateRank,Is_State_Top,Is_Program_Record,Recognition_Type,TeamPageUrl,HasTeamPage,Website_Status,Athletic_Director,AD_Email,Head_Coach,Coach_Email,Athletic_Dept_Email,Main_Phone,Contact_Notes,Email_Sent_Date,Email_Status,Response_Notes
5,Bixby (OK),(OK),69.151,84.463,5.186,37.469,-1.812,13,86,65.517,3.634,1,1,1,Double Recognition,,True,,,,,,,,,,,
8,Thomasville Thomas County Central (GA),(GA),68.42,81.741,6.092,32.905,3.154,15,66,57.8919,10.5281,2,0,1,Program Record,,False,,,,,,,,,,,
10,Fairburn Creekside (GA),(GA),68.207,82.374,5.843,37.466,0.486,15,35,56.0304,12.1766,3,0,1,Program Record,,False,,,,,,,,,,,
11,Carrollton (GA),(GA),68.204,80.834,6.316,34.531,4.048,15,95,65.7388,2.4652,4,0,1,Program Record,,False,,,,,,,,,,,
13,Aledo (TX),(TX),67.742,82.016,5.812,37.499,-4.844,15,79,67.4665,0.2755,5,0,1,Program Record,,False,,,,,,,,,,,
22,Waxahachie (TX),(TX),63.614,76.098,6.102,31.077,-4.037,13,118,52.2141,11.3999,8,0,1,Program Record,,False,,,,,,,,,,,
24,New Orleans Karr (LA),(LA),62.97,75.024,6.046,31.794,-2.244,11,33,56.0231,6.9469,1,1,1,Double Recognition,,True,,,,,,,,,,,
25,Brownsburg (IN),(IN),62.676,74.542,6.16,28.789,1.314,14,65,55.7317,6.9443,1,1,1,Double Recognition,,False,,,,,,,,,,,
26,Rock Hill Northwestern (SC),(SC),62.646,74.78,6.465,31.799,-0.289,14,54,61.3522,1.2938,1,1,1,Double Recognition,,False,,,,,,,,,,,
28,Rancho Santa Margarita (CA),(CA),62.45,74.752,6.033,22.81,-7.882,14,38,60.8884,1.5616,3,0,1,Program Record,,False,,,,,,,,,,,
29,Prosper (TX),(TX),62.29,74.698,5.867,33.757,-1.977,13,75,57.37,4.92,9,0,1,Program Record,,False,,,,,,,,,,,
37,Greenwood Village Cherry Creek (CO),(CO),60.278,72.605,5.658,31.697,-6.716,14,66,52.4846,7.7934,1,1,1,Double Recognition,,False,,,,,,,,,,,
39,Blue Springs South (MO),(MO),60.041,72.11,5.283,29.465,-3.769,10,33,51.0524,8.9886,1,1,1,Double Recognition,,False,,,,,,,,,,,
