National_Rank,Team,State,Combined_2025,Margin,Win_Loss,Offense,Defense,Games_Played,Total_Seasons,Previous_Best,Improvement,StateRank,Is_State_Top,Is_Program_Record,Recognition_Type,TeamPageUrl,HasTeamPage,Website_Status,Athletic_Director,AD_Email,Head_Coach,Coach_Email,Athletic_Dept_Email,Main_Phone,Contact_Notes,Email_Sent_Date,Email_Status,Response_Notes
3,Southlake Carroll (TX),(TX),71.887,86.678,6.503,33.079,-8.745,15,68,74.2149,-2.3279,1,1,0,Top-Rated in State,,False,,,,,,,,,,,
6,Buford (GA),(GA),69.142,82.537,6.334,30.262,-6.062,15,82,70.1648,-1.0228,1,1,0,Top-Rated in State,,False,,,,,,,,,,,
15,Alabaster Thompson (AL),(AL),65.579,78.887,6.16,35.325,-8.011,14,86,70.2776,-4.6986,1,1,0,Top-Rated in State,,False,,,,,,,,,,,
16,Chandler Hamilton (AZ),(AZ),65.381,79.159,5.802,34.905,-3.073,12,27,65.4202,-0.0392,1,1,0,Top-Rated in State,,True,,,,,,,,,,,
19,Las Vegas Bishop Gorman (NV),(NV),64.027,77.356,5.41,31.293,-5.45,12,59,76.8853,-12.8583,1,1,0,Top-Rated in State,,True,,,,,,,,,,,
82,Puyallup (WA),(WA),55.236,67.147,4.911,35.35,-5.319,13,101,56.8645,-1.6285,1,1,0,Top-Rated in State,,False,,,,,,,,,,,
85,Louisville Trinity (KY),(KY),54.809,65.457,4.642,26.315,3.966,14,70,72.5187,-17.7097,1,1,0,Top-Rated in State,,True,,,,,,,,,,,
90,Chattanooga Baylor (TN),(TN),54.065,63.771,5.803,27.87,3.976,11,120,69.0852,-15.0202,1,1,0,Top-Rated in State,,False,,,,,,,,,,,
112,Rigby (ID),(ID),52.793,62.964,5.003,31.403,-1.817,12,58,55.1534,-2.3604,1,1,0,Top-Rated in State,,False,,,,,,,,,,,
113,West Linn (OR),(OR),52.741,63.096,5.297,30.679,-1.08,12,104,56.8865,-4.1455,1,1,0,Top-Rated in State,,False,,,,,,,,,,,
128,Norfolk Maury (VA),(VA),51.555,63.768,3.578,32.349,-3.517,14,119,57.9397,-6.3847,1,1,0,Top-Rated in State,,False,,,,,,,,,,,
133,Bryant (AR),(AR),51.243,61.686,4.425,25.064,-4.388,13,65,63.7218,-12.4788,1,1,0,Top-Rated in State,,False,,,,,,,,,,,
302,Omaha Millard South (NE),(NE),44.699,56.538,2.383,34.559,-5.915,13,44,57.4388,-12.7398,1,1,0,Top-Rated in State,,False,,,,,,,,,,,
382,New Rochelle Iona Prep (NY),(NY),42.657,51.47,3.848,23.208,6.085,12,84,42.7688,-0.1118,1,1,0,Top-Rated in State,,False,,,,,,,,,,,
454,Kahuku (HI),(HI),40.974,49.172,3.501,14.936,-3.476,12,60,73.9896,-33.0156,1,1,0,Top-Rated in State,,True,,,,,,,,,,,
465,Martinsburg (WV),(WV),40.833,49.708,2.734,25.4,12.115,14,106,51.805,-10.972,1,1,0,Top-Rated in State,,False,,,,,,,,,,,
1496,Billings Central Catholic (MT),(MT),27.793,35.556,1.748,29.339,1.021,12,63,43.8194,-16.0264,1,1,0,Top-Rated in State,,False,,,,,,,,,,,
1985,Warwick Bishop Hendricken (RI),(RI),24.062,30.821,2.32,31.552,-8.571,10,64,37.7752,-13.7132,1,1,0,Top-Rated in State,,False,,,,,,,,,,,
3162,Saco Thornton Academy (ME),(ME),16.675,21.894,1.28,22.924,2.812,12,110,65.8702,-49.1952,1,1,0,Top-Rated in State,,True,,,,,,,,,,,
4659,Soldotna (AK),(AK),9.529,15.389,-0.262,34.081,3.242,10,44,59.8922,-50.3632,1,1,0,Top-Rated in State,,False,,,,,,,,,,,
7101,White River Junction Hartford (VT),(VT),-1.167,-0.197,-1.428,8.14,11.131,10,92,47.419,-48.586,1,1,0,Top-Rated in State,,False,,,,,,,,,,,
